build,dataset,trees,worker,buffer,threads,features,real_time_ns,cpu_time_ns,iterations,items_per_second
debug,higgs_d6_n500,500,branch,compact,nothread,28,19926.961414701047,19925.585708073635,34495,50183.26573675469
debug,higgs_d6_n500,500,bitmask,compact,nothread,28,305982.64012224745,305931.24278949643,2323,3268.1592642003343
debug,higgs_d6_n500,500,branch,compact,1,28,48932.554435883765,48930.16773670339,14797,20436.292597605916
debug,higgs_d6_n500,500,bitmask,compact,1,28,341133.65764737927,341135.19626168185,2033,2931.4023333155633
debug,higgs_d6_n500,500,branch,compact,2,28,25558.192832316432,25558.1974117892,28823,39126.397025050006
debug,higgs_d6_n500,500,bitmask,compact,2,28,173300.37506131938,173301.3694656487,3930,5770.327961761001
debug,higgs_d6_n500,500,branch,compact,4,28,11865.926900955052,11865.97886720129,59481,84274.91660339768
debug,higgs_d6_n500,500,bitmask,compact,4,28,88583.9353662697,88583.42292786595,7999,11288.728547284345
debug,higgs_d6_n500,500,branch,tree,nothread,28,19669.54063778476,19667.95542840794,34955,50840.028164105766
debug,higgs_d6_n500,500,bitmask,tree,nothread,28,305589.5925112293,305577.6861123208,2297,3272.362752220542
debug,higgs_d6_n500,500,branch,tree,1,28,23144.704003542636,23142.019735298993,29845,43206.428556914594
debug,higgs_d6_n500,500,bitmask,tree,1,28,314242.37145305955,314206.0472760021,2221,3182.257043746173
debug,higgs_d6_n500,500,branch,tree,2,28,25027.72894170107,25025.804230863287,57246,39955.682847987264
debug,higgs_d6_n500,500,bitmask,tree,2,28,162385.99876344795,162376.82200247253,4045,6158.1663912830745
debug,higgs_d6_n500,500,branch,tree,4,28,13044.392272058507,13044.013949000688,108825,76661.29468844869
debug,higgs_d6_n500,500,bitmask,tree,4,28,87235.61296527351,87226.63921008182,7697,11463.208270205852
debug,higgs_d6_n5000,5000,branch,compact,nothread,28,222571.54002179782,222553.78469980627,3098,4492.937416446252
debug,higgs_d6_n5000,5000,bitmask,compact,nothread,28,3077924.0960606034,3077770.510917029,229,324.8943017405424
debug,higgs_d6_n5000,5000,branch,compact,1,28,238461.45667826533,238438.78151546034,2943,4193.549825325484
debug,higgs_d6_n5000,5000,bitmask,compact,1,28,3171632.486620573,3171447.0937500014,224,315.29504260612384
debug,higgs_d6_n5000,5000,branch,compact,2,28,122198.9893165683,122189.89842381811,5710,8183.3737381362735
debug,higgs_d6_n5000,5000,bitmask,compact,2,28,1607639.4388243537,1607487.563510395,433,622.0300247991472
debug,higgs_d6_n5000,5000,branch,compact,4,28,61777.09047410402,61774.6759529496,11307,16187.230449436336
debug,higgs_d6_n5000,5000,bitmask,compact,4,28,834933.8993932047,834934.828742515,835,1197.6996031982392
debug,higgs_d6_n5000,5000,branch,tree,nothread,28,263818.2507509934,263809.1408610271,2648,3790.4883272986926
debug,higgs_d6_n5000,5000,bitmask,tree,nothread,28,3137004.333289547,3136585.9555555494,225,318.7754602019861
debug,higgs_d6_n5000,5000,branch,tree,1,28,485045.0542572848,485011.7202572358,2488,2061.6641510369163
debug,higgs_d6_n5000,5000,bitmask,tree,1,28,3430576.484327751,3430273.2152466257,223,291.4961973791871
debug,higgs_d6_n5000,5000,branch,tree,2,28,145684.20193952665,145674.6407482531,4437,6864.162254292329
debug,higgs_d6_n5000,5000,bitmask,tree,2,28,1615109.8018441852,1614955.1543778789,434,619.1529509994722
debug,higgs_d6_n5000,5000,branch,tree,4,28,130126.32315836704,130118.56227195336,8222,7684.8402054899725
debug,higgs_d6_n5000,5000,bitmask,tree,4,28,832090.9708418362,832032.37910085,823,1201.791673076669
release,higgs_d6_n500,500,branch,compact,nothread,28,3864.0362247312555,3863.700281389374,179822,258796.74564115924
release,higgs_d6_n500,500,bitmask,compact,nothread,28,112675.7004420964,112673.93315649868,5655,8875.028032454044
