Value,Percentile,TotalCount,1/(1-Percentile)
33951.000,0.000000,1,1.00
53663.000,0.100000,2004,1.11
56735.000,0.200000,4028,1.25
58751.000,0.300000,6042,1.43
60287.000,0.400000,8009,1.67
61471.000,0.500000,10045,2.00
61951.000,0.550000,11002,2.22
62367.000,0.600000,12024,2.50
62719.000,0.650000,13072,2.86
62975.000,0.700000,14023,3.33
63199.000,0.750000,15010,4.00
63295.000,0.775000,15513,4.44
63423.000,0.800000,16138,5.00
63519.000,0.825000,16585,5.71
63647.000,0.850000,17136,6.67
63743.000,0.875000,17510,8.00
63839.000,0.887500,17848,8.89
63903.000,0.900000,18056,10.00
63999.000,0.912500,18303,11.43
64127.000,0.925000,18530,13.33
64287.000,0.937500,18762,16.00
64383.000,0.943750,18889,17.78
64511.000,0.950000,19037,20.00
64639.000,0.956250,19150,22.86
64799.000,0.962500,19268,26.67
64927.000,0.968750,19381,32.00
64991.000,0.971875,19441,35.56
65087.000,0.975000,19512,40.00
65183.000,0.978125,19563,45.71
65343.000,0.981250,19642,53.33
65503.000,0.984375,19695,64.00
65599.000,0.985938,19723,71.11
65791.000,0.987500,19764,80.00
65919.000,0.989062,19786,91.43
66111.000,0.990625,19816,106.67
66495.000,0.992188,19846,128.00
66751.000,0.992969,19865,142.22
66879.000,0.993750,19876,160.00
67199.000,0.994531,19892,182.86
67711.000,0.995313,19909,213.33
69631.000,0.996094,19922,256.00
71551.000,0.996484,19931,284.44
73151.000,0.996875,19938,320.00
76159.000,0.997266,19946,365.71
78719.000,0.997656,19954,426.67
80191.000,0.998047,19961,512.00
83455.000,0.998242,19965,568.89
84799.000,0.998437,19969,640.00
86783.000,0.998633,19973,731.43
89599.000,0.998828,19977,853.33
92927.000,0.999023,19981,1024.00
95103.000,0.999121,19983,1137.78
96383.000,0.999219,19985,1280.00
98687.000,0.999316,19987,1462.86
101631.000,0.999414,19989,1706.67
103807.000,0.999512,19991,2048.00
103935.000,0.999561,19992,2275.56
105407.000,0.999609,19993,2560.00
106303.000,0.999658,19994,2925.71
110783.000,0.999707,19995,3413.33
111231.000,0.999756,19996,4096.00
111231.000,0.999780,19996,4551.11
112319.000,0.999805,19997,5120.00
112319.000,0.999829,19997,5851.43
112767.000,0.999854,19998,6826.67
112767.000,0.999878,19998,8192.00
112767.000,0.999890,19998,9102.22
113023.000,0.999902,19999,10240.00
113023.000,0.999915,19999,11702.86
113023.000,0.999927,19999,13653.33
113023.000,0.999939,19999,16384.00
113023.000,0.999945,19999,18204.44
114303.000,0.999951,20000,20480.00
114303.000,1.000000,20000,inf
