Value,Percentile,TotalCount,1/(1-Percentile)
87487.000,0.000000,1,1.00
135807.000,0.100000,2023,1.11
144383.000,0.200000,4012,1.25
149759.000,0.300000,6001,1.43
153471.000,0.400000,8085,1.67
155903.000,0.500000,10021,2.00
157055.000,0.550000,11091,2.22
157951.000,0.600000,12103,2.50
158719.000,0.650000,13147,2.86
159359.000,0.700000,14102,3.33
160127.000,0.750000,15125,4.00
160511.000,0.775000,15676,4.44
160767.000,0.800000,16048,5.00
161151.000,0.825000,16637,5.71
161535.000,0.850000,17180,6.67
161919.000,0.875000,17621,8.00
162047.000,0.887500,17757,8.89
162431.000,0.900000,18104,10.00
162687.000,0.912500,18307,11.43
163071.000,0.925000,18552,13.33
163455.000,0.937500,18760,16.00
163711.000,0.943750,18919,17.78
163967.000,0.950000,19039,20.00
164223.000,0.956250,19144,22.86
164607.000,0.962500,19290,26.67
165119.000,0.968750,19380,32.00
165503.000,0.971875,19440,35.56
166143.000,0.975000,19504,40.00
167039.000,0.978125,19565,45.71
170367.000,0.981250,19629,53.33
174847.000,0.984375,19688,64.00
178303.000,0.985938,19722,71.11
180735.000,0.987500,19751,80.00
182399.000,0.989062,19783,91.43
186623.000,0.990625,19813,106.67
198271.000,0.992188,19845,128.00
202623.000,0.992969,19860,142.22
206335.000,0.993750,19876,160.00
209663.000,0.994531,19892,182.86
211071.000,0.995313,19908,213.33
212351.000,0.996094,19922,256.00
212863.000,0.996484,19933,284.44
213247.000,0.996875,19938,320.00
213887.000,0.997266,19946,365.71
214399.000,0.997656,19955,426.67
215167.000,0.998047,19964,512.00
215295.000,0.998242,19965,568.89
215935.000,0.998437,19971,640.00
216191.000,0.998633,19973,731.43
216575.000,0.998828,19978,853.33
216831.000,0.999023,19981,1024.00
216959.000,0.999121,19983,1137.78
217087.000,0.999219,19985,1280.00
217727.000,0.999316,19987,1462.86
218239.000,0.999414,19989,1706.67
218751.000,0.999512,19992,2048.00
218751.000,0.999561,19992,2275.56
219135.000,0.999609,19995,2560.00
219135.000,0.999658,19995,2925.71
219135.000,0.999707,19995,3413.33
219263.000,0.999756,19996,4096.00
219263.000,0.999780,19996,4551.11
219775.000,0.999805,19997,5120.00
219775.000,0.999829,19997,5851.43
220031.000,0.999854,19998,6826.67
220031.000,0.999878,19998,8192.00
220031.000,0.999890,19998,9102.22
220671.000,0.999902,19999,10240.00
220671.000,0.999915,19999,11702.86
220671.000,0.999927,19999,13653.33
220671.000,0.999939,19999,16384.00
220671.000,0.999945,19999,18204.44
221567.000,0.999951,20000,20480.00
221567.000,1.000000,20000,inf
