Value,Percentile,TotalCount,1/(1-Percentile)
8743.000,0.000000,1,1.00
8871.000,0.100000,2441,1.11
8887.000,0.200000,4073,1.25
8903.000,0.300000,6200,1.43
8919.000,0.400000,8661,1.67
8935.000,0.500000,11209,2.00
8935.000,0.550000,11209,2.22
8943.000,0.600000,12411,2.50
8951.000,0.650000,13522,2.86
8959.000,0.700000,14528,3.33
8967.000,0.750000,15443,4.00
8975.000,0.775000,16245,4.44
8975.000,0.800000,16245,5.00
8983.000,0.825000,16904,5.71
8991.000,0.850000,17428,6.67
8999.000,0.875000,17862,8.00
8999.000,0.887500,17862,8.89
9007.000,0.900000,18169,10.00
9015.000,0.912500,18411,11.43
9023.000,0.925000,18602,13.33
9039.000,0.937500,18869,16.00
9047.000,0.943750,18950,17.78
9055.000,0.950000,19009,20.00
9079.000,0.956250,19144,22.86
9111.000,0.962500,19272,26.67
9159.000,0.968750,19385,32.00
9191.000,0.971875,19444,35.56
9247.000,0.975000,19502,40.00
9391.000,0.978125,19568,45.71
9455.000,0.981250,19631,53.33
9511.000,0.984375,19691,64.00
9567.000,0.985938,19724,71.11
9631.000,0.987500,19750,80.00
10023.000,0.989062,19782,91.43
11471.000,0.990625,19813,106.67
11703.000,0.992188,19845,128.00
11783.000,0.992969,19862,142.22
11839.000,0.993750,19876,160.00
11903.000,0.994531,19892,182.86
11975.000,0.995313,19907,213.33
12087.000,0.996094,19922,256.00
12151.000,0.996484,19930,284.44
12215.000,0.996875,19939,320.00
12295.000,0.997266,19946,365.71
12399.000,0.997656,19954,426.67
12535.000,0.998047,19962,512.00
12783.000,0.998242,19965,568.89
13463.000,0.998437,19969,640.00
14423.000,0.998633,19973,731.43
18559.000,0.998828,19977,853.33
36799.000,0.999023,19981,1024.00
38719.000,0.999121,19983,1137.78
40287.000,0.999219,19985,1280.00
41247.000,0.999316,19987,1462.86
43103.000,0.999414,19989,1706.67
64287.000,0.999512,19991,2048.00
64479.000,0.999561,19992,2275.56
64575.000,0.999609,19994,2560.00
64575.000,0.999658,19994,2925.71
64607.000,0.999707,19995,3413.33
65087.000,0.999756,19996,4096.00
65087.000,0.999780,19996,4551.11
65503.000,0.999805,19997,5120.00
65503.000,0.999829,19997,5851.43
66431.000,0.999854,19998,6826.67
66431.000,0.999878,19998,8192.00
66431.000,0.999890,19998,9102.22
67071.000,0.999902,19999,10240.00
67071.000,0.999915,19999,11702.86
67071.000,0.999927,19999,13653.33
67071.000,0.999939,19999,16384.00
67071.000,0.999945,19999,18204.44
67967.000,0.999951,20000,20480.00
67967.000,1.000000,20000,inf
