Value,Percentile,TotalCount,1/(1-Percentile)
3901.000,0.000000,2,1.00
4023.000,0.100000,2047,1.11
4041.000,0.200000,4418,1.25
4049.000,0.300000,6466,1.43
4055.000,0.400000,8270,1.67
4063.000,0.500000,10324,2.00
4067.000,0.550000,11113,2.22
4075.000,0.600000,12159,2.50
4089.000,0.650000,13061,2.86
4107.000,0.700000,14347,3.33
4115.000,0.750000,15146,4.00
4119.000,0.775000,15559,4.44
4127.000,0.800000,16330,5.00
4131.000,0.825000,16651,5.71
4139.000,0.850000,17158,6.67
4147.000,0.875000,17522,8.00
4159.000,0.887500,17785,8.89
4175.000,0.900000,18006,10.00
4199.000,0.912500,18281,11.43
4219.000,0.925000,18517,13.33
4243.000,0.937500,18754,16.00
4267.000,0.943750,18882,17.78
4291.000,0.950000,19014,20.00
4319.000,0.956250,19130,22.86
4367.000,0.962500,19251,26.67
4423.000,0.968750,19378,32.00
4463.000,0.971875,19441,35.56
4507.000,0.975000,19502,40.00
4579.000,0.978125,19564,45.71
4663.000,0.981250,19629,53.33
4751.000,0.984375,19688,64.00
4843.000,0.985938,19719,71.11
4935.000,0.987500,19750,80.00
5123.000,0.989062,19782,91.43
5295.000,0.990625,19813,106.67
5635.000,0.992188,19844,128.00
5891.000,0.992969,19860,142.22
6187.000,0.993750,19875,160.00
6351.000,0.994531,19891,182.86
6535.000,0.995313,19907,213.33
6667.000,0.996094,19922,256.00
6775.000,0.996484,19930,284.44
6987.000,0.996875,19938,320.00
7359.000,0.997266,19946,365.71
7707.000,0.997656,19954,426.67
7867.000,0.998047,19961,512.00
7987.000,0.998242,19965,568.89
8143.000,0.998437,19969,640.00
8247.000,0.998633,19973,731.43
8399.000,0.998828,19977,853.33
8671.000,0.999023,19981,1024.00
8911.000,0.999121,19983,1137.78
9591.000,0.999219,19985,1280.00
10479.000,0.999316,19987,1462.86
11047.000,0.999414,19989,1706.67
21935.000,0.999512,19991,2048.00
23663.000,0.999561,19992,2275.56
26143.000,0.999609,19993,2560.00
27199.000,0.999658,19994,2925.71
32959.000,0.999707,19995,3413.33
54911.000,0.999756,19996,4096.00
54911.000,0.999780,19996,4551.11
54943.000,0.999805,19997,5120.00
54943.000,0.999829,19997,5851.43
57183.000,0.999854,19998,6826.67
57183.000,0.999878,19998,8192.00
57183.000,0.999890,19998,9102.22
58015.000,0.999902,19999,10240.00
58015.000,0.999915,19999,11702.86
58015.000,0.999927,19999,13653.33
58015.000,0.999939,19999,16384.00
58015.000,0.999945,19999,18204.44
59199.000,0.999951,20000,20480.00
59199.000,1.000000,20000,inf
