Value,Percentile,TotalCount,1/(1-Percentile)
125247.000,0.000000,1,1.00
204159.000,0.100000,2009,1.11
217343.000,0.200000,4017,1.25
226303.000,0.300000,6021,1.43
232319.000,0.400000,8019,1.67
237183.000,0.500000,10039,2.00
238975.000,0.550000,11034,2.22
240639.000,0.600000,12061,2.50
241919.000,0.650000,13049,2.86
242943.000,0.700000,14045,3.33
243967.000,0.750000,15101,4.00
244479.000,0.775000,15638,4.44
244863.000,0.800000,16091,5.00
245247.000,0.825000,16522,5.71
245759.000,0.850000,17078,6.67
246271.000,0.875000,17578,8.00
246527.000,0.887500,17800,8.89
246911.000,0.900000,18096,10.00
247167.000,0.912500,18254,11.43
247679.000,0.925000,18563,13.33
248191.000,0.937500,18805,16.00
248447.000,0.943750,18900,17.78
248703.000,0.950000,19006,20.00
249087.000,0.956250,19132,22.86
249599.000,0.962500,19280,26.67
250111.000,0.968750,19400,32.00
250367.000,0.971875,19454,35.56
250623.000,0.975000,19508,40.00
251007.000,0.978125,19564,45.71
251519.000,0.981250,19632,53.33
252031.000,0.984375,19689,64.00
252543.000,0.985938,19724,71.11
252927.000,0.987500,19760,80.00
253439.000,0.989062,19788,91.43
253823.000,0.990625,19815,106.67
254335.000,0.992188,19845,128.00
254719.000,0.992969,19862,142.22
255103.000,0.993750,19875,160.00
255615.000,0.994531,19893,182.86
256383.000,0.995313,19908,213.33
257023.000,0.996094,19922,256.00
257791.000,0.996484,19933,284.44
258047.000,0.996875,19939,320.00
258943.000,0.997266,19946,365.71
259839.000,0.997656,19954,426.67
260351.000,0.998047,19962,512.00
261631.000,0.998242,19965,568.89
263679.000,0.998437,19969,640.00
264703.000,0.998633,19973,731.43
267519.000,0.998828,19977,853.33
270079.000,0.999023,19981,1024.00
270335.000,0.999121,19983,1137.78
274943.000,0.999219,19985,1280.00
275711.000,0.999316,19987,1462.86
277503.000,0.999414,19989,1706.67
279039.000,0.999512,19991,2048.00
279551.000,0.999561,19992,2275.56
281599.000,0.999609,19993,2560.00
281855.000,0.999658,19994,2925.71
283135.000,0.999707,19995,3413.33
285439.000,0.999756,19996,4096.00
285439.000,0.999780,19996,4551.11
287743.000,0.999805,19997,5120.00
287743.000,0.999829,19997,5851.43
288255.000,0.999854,19998,6826.67
288255.000,0.999878,19998,8192.00
288255.000,0.999890,19998,9102.22
297215.000,0.999902,19999,10240.00
297215.000,0.999915,19999,11702.86
297215.000,0.999927,19999,13653.33
297215.000,0.999939,19999,16384.00
297215.000,0.999945,19999,18204.44
297983.000,0.999951,20000,20480.00
297983.000,1.000000,20000,inf
