Value,Percentile,TotalCount,1/(1-Percentile)
87871.000,0.000000,1,1.00
135807.000,0.100000,2000,1.11
144639.000,0.200000,4040,1.25
149887.000,0.300000,6028,1.43
153471.000,0.400000,8054,1.67
156031.000,0.500000,10049,2.00
157055.000,0.550000,11055,2.22
157951.000,0.600000,12055,2.50
158719.000,0.650000,13121,2.86
159359.000,0.700000,14008,3.33
160127.000,0.750000,15049,4.00
160511.000,0.775000,15587,4.44
160895.000,0.800000,16141,5.00
161151.000,0.825000,16520,5.71
161535.000,0.850000,17123,6.67
161919.000,0.875000,17588,8.00
162175.000,0.887500,17841,8.89
162431.000,0.900000,18072,10.00
162815.000,0.912500,18333,11.43
163071.000,0.925000,18505,13.33
163583.000,0.937500,18810,16.00
163711.000,0.943750,18875,17.78
164095.000,0.950000,19037,20.00
164479.000,0.956250,19162,22.86
164863.000,0.962500,19260,26.67
165631.000,0.968750,19379,32.00
166143.000,0.971875,19440,35.56
167039.000,0.975000,19505,40.00
169087.000,0.978125,19565,45.71
172159.000,0.981250,19627,53.33
176255.000,0.984375,19688,64.00
179327.000,0.985938,19719,71.11
181375.000,0.987500,19751,80.00
183295.000,0.989062,19783,91.43
186239.000,0.990625,19813,106.67
194559.000,0.992188,19844,128.00
201599.000,0.992969,19860,142.22
204799.000,0.993750,19876,160.00
207231.000,0.994531,19891,182.86
209279.000,0.995313,19907,213.33
210431.000,0.996094,19923,256.00
211199.000,0.996484,19930,284.44
211967.000,0.996875,19938,320.00
212607.000,0.997266,19949,365.71
213247.000,0.997656,19955,426.67
213887.000,0.998047,19964,512.00
214015.000,0.998242,19965,568.89
214527.000,0.998437,19969,640.00
215167.000,0.998633,19974,731.43
215551.000,0.998828,19978,853.33
215807.000,0.999023,19984,1024.00
215807.000,0.999121,19984,1137.78
215935.000,0.999219,19986,1280.00
216063.000,0.999316,19987,1462.86
216319.000,0.999414,19989,1706.67
216447.000,0.999512,19991,2048.00
216831.000,0.999561,19992,2275.56
216959.000,0.999609,19993,2560.00
217215.000,0.999658,19994,2925.71
217727.000,0.999707,19996,3413.33
217727.000,0.999756,19996,4096.00
217727.000,0.999780,19996,4551.11
217855.000,0.999805,19997,5120.00
217855.000,0.999829,19997,5851.43
218239.000,0.999854,19998,6826.67
218239.000,0.999878,19998,8192.00
218239.000,0.999890,19998,9102.22
219647.000,0.999902,19999,10240.00
219647.000,0.999915,19999,11702.86
219647.000,0.999927,19999,13653.33
219647.000,0.999939,19999,16384.00
219647.000,0.999945,19999,18204.44
221311.000,0.999951,20000,20480.00
221311.000,1.000000,20000,inf
