Value,Percentile,TotalCount,1/(1-Percentile)
8751.000,0.000000,1,1.00
8879.000,0.100000,2236,1.11
8903.000,0.200000,4491,1.25
8919.000,0.300000,6342,1.43
8935.000,0.400000,8190,1.67
8959.000,0.500000,10762,2.00
8967.000,0.550000,11502,2.22
8975.000,0.600000,12079,2.50
8991.000,0.650000,13051,2.86
9023.000,0.700000,14180,3.33
9079.000,0.750000,15061,4.00
9135.000,0.775000,15535,4.44
9215.000,0.800000,16024,5.00
9335.000,0.825000,16511,5.71
9487.000,0.850000,17014,6.67
9631.000,0.875000,17507,8.00
9687.000,0.887500,17790,8.89
9727.000,0.900000,18010,10.00
9775.000,0.912500,18262,11.43
9831.000,0.925000,18528,13.33
9895.000,0.937500,18764,16.00
9927.000,0.943750,18877,17.78
9983.000,0.950000,19014,20.00
10039.000,0.956250,19140,22.86
10127.000,0.962500,19253,26.67
10255.000,0.968750,19375,32.00
10335.000,0.971875,19439,35.56
10471.000,0.975000,19506,40.00
10679.000,0.978125,19563,45.71
10967.000,0.981250,19626,53.33
11351.000,0.984375,19688,64.00
11487.000,0.985938,19720,71.11
11631.000,0.987500,19750,80.00
11743.000,0.989062,19784,91.43
11831.000,0.990625,19813,106.67
11927.000,0.992188,19844,128.00
12007.000,0.992969,19860,142.22
12127.000,0.993750,19876,160.00
12287.000,0.994531,19892,182.86
12487.000,0.995313,19907,213.33
12791.000,0.996094,19922,256.00
13127.000,0.996484,19930,284.44
13295.000,0.996875,19938,320.00
13447.000,0.997266,19947,365.71
13711.000,0.997656,19954,426.67
14055.000,0.998047,19961,512.00
14143.000,0.998242,19965,568.89
15255.000,0.998437,19969,640.00
15807.000,0.998633,19973,731.43
20495.000,0.998828,19977,853.33
38719.000,0.999023,19981,1024.00
39327.000,0.999121,19984,1137.78
39743.000,0.999219,19985,1280.00
41087.000,0.999316,19988,1462.86
42495.000,0.999414,19989,1706.67
64895.000,0.999512,19991,2048.00
65183.000,0.999561,19992,2275.56
65471.000,0.999609,19993,2560.00
65919.000,0.999658,19994,2925.71
66367.000,0.999707,19995,3413.33
66495.000,0.999756,19996,4096.00
66495.000,0.999780,19996,4551.11
66623.000,0.999805,19998,5120.00
66623.000,0.999829,19998,5851.43
66623.000,0.999854,19998,6826.67
66623.000,0.999878,19998,8192.00
66623.000,0.999890,19998,9102.22
67327.000,0.999902,19999,10240.00
67327.000,0.999915,19999,11702.86
67327.000,0.999927,19999,13653.33
67327.000,0.999939,19999,16384.00
67327.000,0.999945,19999,18204.44
74751.000,0.999951,20000,20480.00
74751.000,1.000000,20000,inf
