Value,Percentile,TotalCount,1/(1-Percentile)
2042.000,0.000000,2,1.00
2285.000,0.100000,2019,1.11
2377.000,0.200000,4032,1.25
2405.000,0.300000,6148,1.43
2467.000,0.400000,8082,1.67
2501.000,0.500000,10016,2.00
2567.000,0.550000,11029,2.22
2597.000,0.600000,12024,2.50
2667.000,0.650000,13014,2.86
2771.000,0.700000,14012,3.33
2889.000,0.750000,15016,4.00
2953.000,0.775000,15509,4.44
3019.000,0.800000,16009,5.00
3089.000,0.825000,16509,5.71
3191.000,0.850000,17008,6.67
3399.000,0.875000,17500,8.00
3587.000,0.887500,17755,8.89
3747.000,0.900000,18003,10.00
3881.000,0.912500,18253,11.43
4005.000,0.925000,18501,13.33
4127.000,0.937500,18762,16.00
4183.000,0.943750,18881,17.78
4243.000,0.950000,19007,20.00
4303.000,0.956250,19138,22.86
4371.000,0.962500,19250,26.67
4435.000,0.968750,19375,32.00
4479.000,0.971875,19439,35.56
4531.000,0.975000,19502,40.00
4583.000,0.978125,19564,45.71
4623.000,0.981250,19626,53.33
4675.000,0.984375,19689,64.00
4695.000,0.985938,19720,71.11
4723.000,0.987500,19752,80.00
4755.000,0.989062,19784,91.43
4783.000,0.990625,19813,106.67
4811.000,0.992188,19844,128.00
4831.000,0.992969,19862,142.22
4851.000,0.993750,19875,160.00
4883.000,0.994531,19893,182.86
4899.000,0.995313,19907,213.33
4943.000,0.996094,19922,256.00
4967.000,0.996484,19930,284.44
4991.000,0.996875,19940,320.00
5003.000,0.997266,19947,365.71
5019.000,0.997656,19954,426.67
5051.000,0.998047,19961,512.00
5095.000,0.998242,19965,568.89
5143.000,0.998437,19969,640.00
5399.000,0.998633,19973,731.43
5827.000,0.998828,19977,853.33
6867.000,0.999023,19981,1024.00
8019.000,0.999121,19983,1137.78
8351.000,0.999219,19985,1280.00
8511.000,0.999316,19987,1462.86
9175.000,0.999414,19989,1706.67
9527.000,0.999512,19991,2048.00
10751.000,0.999561,19992,2275.56
11367.000,0.999609,19993,2560.00
11839.000,0.999658,19994,2925.71
26303.000,0.999707,19995,3413.33
27647.000,0.999756,19996,4096.00
27647.000,0.999780,19996,4551.11
55231.000,0.999805,19997,5120.00
55231.000,0.999829,19997,5851.43
56895.000,0.999854,19998,6826.67
56895.000,0.999878,19998,8192.00
56895.000,0.999890,19998,9102.22
59359.000,0.999902,19999,10240.00
59359.000,0.999915,19999,11702.86
59359.000,0.999927,19999,13653.33
59359.000,0.999939,19999,16384.00
59359.000,0.999945,19999,18204.44
63615.000,0.999951,20000,20480.00
63615.000,1.000000,20000,inf
