Value,Percentile,TotalCount,1/(1-Percentile)
234.000,0.000000,1,1.00
446.000,0.100000,2005,1.11
482.000,0.200000,4027,1.25
517.000,0.300000,6020,1.43
559.000,0.400000,8018,1.67
619.000,0.500000,10006,2.00
659.000,0.550000,11013,2.22
704.000,0.600000,12008,2.50
745.000,0.650000,13001,2.86
780.000,0.700000,14019,3.33
816.000,0.750000,15009,4.00
838.000,0.775000,15511,4.44
861.000,0.800000,16000,5.00
887.000,0.825000,16509,5.71
920.000,0.850000,17005,6.67
961.000,0.875000,17501,8.00
984.000,0.887500,17753,8.89
1010.000,0.900000,18001,10.00
1039.000,0.912500,18253,11.43
1073.000,0.925000,18504,13.33
1112.000,0.937500,18751,16.00
1133.000,0.943750,18877,17.78
1164.000,0.950000,19002,20.00
1196.000,0.956250,19127,22.86
1231.000,0.962500,19252,26.67
1279.000,0.968750,19375,32.00
1307.000,0.971875,19440,35.56
1335.000,0.975000,19504,40.00
1365.000,0.978125,19563,45.71
1409.000,0.981250,19625,53.33
1462.000,0.984375,19690,64.00
1493.000,0.985938,19719,71.11
1531.000,0.987500,19750,80.00
1579.000,0.989062,19782,91.43
1624.000,0.990625,19813,106.67
1698.000,0.992188,19845,128.00
1751.000,0.992969,19861,142.22
1770.000,0.993750,19875,160.00
1840.000,0.994531,19891,182.86
1911.000,0.995313,19907,213.33
2019.000,0.996094,19922,256.00
2051.000,0.996484,19931,284.44
2123.000,0.996875,19938,320.00
2199.000,0.997266,19947,365.71
2321.000,0.997656,19954,426.67
2429.000,0.998047,19961,512.00
2519.000,0.998242,19965,568.89
2629.000,0.998437,19969,640.00
3073.000,0.998633,19973,731.43
3425.000,0.998828,19977,853.33
3965.000,0.999023,19981,1024.00
4151.000,0.999121,19983,1137.78
4591.000,0.999219,19985,1280.00
4743.000,0.999316,19987,1462.86
4859.000,0.999414,19989,1706.67
5083.000,0.999512,19991,2048.00
5131.000,0.999561,19992,2275.56
5535.000,0.999609,19993,2560.00
13855.000,0.999658,19994,2925.71
14215.000,0.999707,19995,3413.33
14423.000,0.999756,19996,4096.00
14423.000,0.999780,19996,4551.11
14687.000,0.999805,19997,5120.00
14687.000,0.999829,19997,5851.43
15423.000,0.999854,19998,6826.67
15423.000,0.999878,19998,8192.00
15423.000,0.999890,19998,9102.22
25679.000,0.999902,19999,10240.00
25679.000,0.999915,19999,11702.86
25679.000,0.999927,19999,13653.33
25679.000,0.999939,19999,16384.00
25679.000,0.999945,19999,18204.44
25887.000,0.999951,20000,20480.00
25887.000,1.000000,20000,inf
