Value,Percentile,TotalCount,1/(1-Percentile)
223.000,0.000000,1,1.00
424.000,0.100000,2001,1.11
449.000,0.200000,4083,1.25
470.000,0.300000,6044,1.43
493.000,0.400000,8060,1.67
519.000,0.500000,10040,2.00
534.000,0.550000,11037,2.22
550.000,0.600000,12005,2.50
568.000,0.650000,13037,2.86
588.000,0.700000,14010,3.33
613.000,0.750000,15011,4.00
627.000,0.775000,15507,4.44
644.000,0.800000,16017,5.00
665.000,0.825000,16509,5.71
686.000,0.850000,17010,6.67
711.000,0.875000,17516,8.00
724.000,0.887500,17759,8.89
738.000,0.900000,18004,10.00
752.000,0.912500,18268,11.43
768.000,0.925000,18501,13.33
789.000,0.937500,18752,16.00
799.000,0.943750,18879,17.78
812.000,0.950000,19009,20.00
826.000,0.956250,19133,22.86
844.000,0.962500,19255,26.67
865.000,0.968750,19378,32.00
879.000,0.971875,19442,35.56
892.000,0.975000,19501,40.00
907.000,0.978125,19564,45.71
928.000,0.981250,19627,53.33
957.000,0.984375,19689,64.00
972.000,0.985938,19719,71.11
997.000,0.987500,19751,80.00
1025.000,0.989062,19782,91.43
1053.000,0.990625,19813,106.67
1092.000,0.992188,19844,128.00
1118.000,0.992969,19860,142.22
1157.000,0.993750,19876,160.00
1197.000,0.994531,19891,182.86
1265.000,0.995313,19907,213.33
1324.000,0.996094,19922,256.00
1362.000,0.996484,19930,284.44
1410.000,0.996875,19938,320.00
1493.000,0.997266,19946,365.71
1592.000,0.997656,19954,426.67
1742.000,0.998047,19961,512.00
1829.000,0.998242,19965,568.89
1882.000,0.998437,19969,640.00
1941.000,0.998633,19973,731.43
2081.000,0.998828,19977,853.33
2197.000,0.999023,19981,1024.00
2239.000,0.999121,19983,1137.78
2431.000,0.999219,19985,1280.00
2627.000,0.999316,19987,1462.86
3193.000,0.999414,19989,1706.67
4347.000,0.999512,19991,2048.00
4379.000,0.999561,19992,2275.56
4487.000,0.999609,19993,2560.00
4587.000,0.999658,19994,2925.71
4667.000,0.999707,19995,3413.33
4795.000,0.999756,19996,4096.00
4795.000,0.999780,19996,4551.11
4975.000,0.999805,19997,5120.00
4975.000,0.999829,19997,5851.43
5075.000,0.999854,19998,6826.67
5075.000,0.999878,19998,8192.00
5075.000,0.999890,19998,9102.22
14023.000,0.999902,19999,10240.00
14023.000,0.999915,19999,11702.86
14023.000,0.999927,19999,13653.33
14023.000,0.999939,19999,16384.00
14023.000,0.999945,19999,18204.44
14215.000,0.999951,20000,20480.00
14215.000,1.000000,20000,inf
