Value,Percentile,TotalCount,1/(1-Percentile)
10295.000,0.000000,1,1.00
10647.000,0.100000,2083,1.11
10719.000,0.200000,4137,1.25
10791.000,0.300000,6186,1.43
10871.000,0.400000,8070,1.67
10951.000,0.500000,10121,2.00
10991.000,0.550000,11014,2.22
11055.000,0.600000,12044,2.50
11151.000,0.650000,13046,2.86
11271.000,0.700000,14011,3.33
11479.000,0.750000,15022,4.00
11687.000,0.775000,15512,4.44
12007.000,0.800000,16016,5.00
12175.000,0.825000,16521,5.71
12279.000,0.850000,17034,6.67
12399.000,0.875000,17525,8.00
12455.000,0.887500,17776,8.89
12519.000,0.900000,18011,10.00
12591.000,0.912500,18266,11.43
12687.000,0.925000,18514,13.33
12775.000,0.937500,18750,16.00
12831.000,0.943750,18875,17.78
12911.000,0.950000,19012,20.00
12991.000,0.956250,19130,22.86
13095.000,0.962500,19258,26.67
13247.000,0.968750,19379,32.00
13367.000,0.971875,19439,35.56
13511.000,0.975000,19502,40.00
13695.000,0.978125,19563,45.71
14047.000,0.981250,19625,53.33
14567.000,0.984375,19688,64.00
15095.000,0.985938,19720,71.11
15943.000,0.987500,19750,80.00
18815.000,0.989062,19782,91.43
23295.000,0.990625,19814,106.67
24671.000,0.992188,19844,128.00
25407.000,0.992969,19860,142.22
26607.000,0.993750,19875,160.00
32303.000,0.994531,19891,182.86
36703.000,0.995313,19907,213.33
38623.000,0.996094,19922,256.00
177535.000,0.996484,19930,284.44
185599.000,0.996875,19938,320.00
186751.000,0.997266,19946,365.71
231551.000,0.997656,19954,426.67
232191.000,0.998047,19961,512.00
232447.000,0.998242,19965,568.89
268799.000,0.998437,19969,640.00
269567.000,0.998633,19973,731.43
270335.000,0.998828,19978,853.33
272895.000,0.999023,19981,1024.00
277503.000,0.999121,19983,1137.78
340735.000,0.999219,19985,1280.00
400895.000,0.999316,19987,1462.86
464127.000,0.999414,19990,1706.67
464895.000,0.999512,19991,2048.00
465407.000,0.999561,19993,2275.56
465407.000,0.999609,19993,2560.00
465663.000,0.999658,19994,2925.71
466175.000,0.999707,19995,3413.33
472575.000,0.999756,19996,4096.00
472575.000,0.999780,19996,4551.11
475391.000,0.999805,19997,5120.00
475391.000,0.999829,19997,5851.43
484351.000,0.999854,19998,6826.67
484351.000,0.999878,19998,8192.00
484351.000,0.999890,19998,9102.22
486399.000,0.999902,19999,10240.00
486399.000,0.999915,19999,11702.86
486399.000,0.999927,19999,13653.33
486399.000,0.999939,19999,16384.00
486399.000,0.999945,19999,18204.44
487167.000,0.999951,20000,20480.00
487167.000,1.000000,20000,inf
