Value,Percentile,TotalCount,1/(1-Percentile)
9591.000,0.000000,1,1.00
12487.000,0.100000,2015,1.11
12663.000,0.200000,4027,1.25
12791.000,0.300000,6084,1.43
12903.000,0.400000,8074,1.67
13015.000,0.500000,10024,2.00
13079.000,0.550000,11098,2.22
13143.000,0.600000,12075,2.50
13207.000,0.650000,13026,2.86
13279.000,0.700000,14026,3.33
13359.000,0.750000,15034,4.00
13407.000,0.775000,15563,4.44
13463.000,0.800000,16058,5.00
13519.000,0.825000,16546,5.71
13599.000,0.850000,17038,6.67
13695.000,0.875000,17521,8.00
13751.000,0.887500,17758,8.89
13807.000,0.900000,18000,10.00
13887.000,0.912500,18267,11.43
13967.000,0.925000,18523,13.33
14063.000,0.937500,18754,16.00
14135.000,0.943750,18877,17.78
14239.000,0.950000,19003,20.00
14399.000,0.956250,19126,22.86
14599.000,0.962500,19251,26.67
14951.000,0.968750,19376,32.00
15223.000,0.971875,19438,35.56
15615.000,0.975000,19500,40.00
16343.000,0.978125,19563,45.71
16911.000,0.981250,19628,53.33
17775.000,0.984375,19688,64.00
20383.000,0.985938,19720,71.11
23791.000,0.987500,19751,80.00
25727.000,0.989062,19782,91.43
26607.000,0.990625,19813,106.67
29151.000,0.992188,19844,128.00
36959.000,0.992969,19860,142.22
38111.000,0.993750,19875,160.00
191615.000,0.994531,19893,182.86
193279.000,0.995313,19908,213.33
194559.000,0.996094,19922,256.00
199679.000,0.996484,19930,284.44
200447.000,0.996875,19938,320.00
240767.000,0.997266,19946,365.71
241663.000,0.997656,19955,426.67
242559.000,0.998047,19961,512.00
279039.000,0.998242,19966,568.89
279807.000,0.998437,19972,640.00
280319.000,0.998633,19974,731.43
281087.000,0.998828,19977,853.33
293887.000,0.999023,19981,1024.00
401919.000,0.999121,19983,1137.78
402687.000,0.999219,19985,1280.00
402943.000,0.999316,19987,1462.86
403199.000,0.999414,19990,1706.67
403455.000,0.999512,19992,2048.00
403455.000,0.999561,19992,2275.56
403711.000,0.999609,19993,2560.00
403967.000,0.999658,19994,2925.71
404223.000,0.999707,19995,3413.33
404991.000,0.999756,19996,4096.00
404991.000,0.999780,19996,4551.11
405503.000,0.999805,19997,5120.00
405503.000,0.999829,19997,5851.43
425727.000,0.999854,19998,6826.67
425727.000,0.999878,19998,8192.00
425727.000,0.999890,19998,9102.22
427263.000,0.999902,19999,10240.00
427263.000,0.999915,19999,11702.86
427263.000,0.999927,19999,13653.33
427263.000,0.999939,19999,16384.00
427263.000,0.999945,19999,18204.44
430335.000,0.999951,20000,20480.00
430335.000,1.000000,20000,inf
