Value,Percentile,TotalCount,1/(1-Percentile)
7403.000,0.000000,1,1.00
7967.000,0.100000,2030,1.11
8075.000,0.200000,4007,1.25
8159.000,0.300000,6015,1.43
8255.000,0.400000,8155,1.67
8383.000,0.500000,10087,2.00
8455.000,0.550000,11039,2.22
8543.000,0.600000,12068,2.50
8639.000,0.650000,13078,2.86
8743.000,0.700000,14049,3.33
8879.000,0.750000,15032,4.00
8967.000,0.775000,15509,4.44
9103.000,0.800000,16009,5.00
9279.000,0.825000,16515,5.71
9439.000,0.850000,17001,6.67
9639.000,0.875000,17506,8.00
9759.000,0.887500,17769,8.89
9855.000,0.900000,18012,10.00
9967.000,0.912500,18259,11.43
10087.000,0.925000,18501,13.33
10231.000,0.937500,18753,16.00
10319.000,0.943750,18876,17.78
10415.000,0.950000,19007,20.00
10551.000,0.956250,19133,22.86
10703.000,0.962500,19253,26.67
10959.000,0.968750,19376,32.00
11095.000,0.971875,19438,35.56
11311.000,0.975000,19500,40.00
11607.000,0.978125,19564,45.71
11919.000,0.981250,19626,53.33
12343.000,0.984375,19688,64.00
12663.000,0.985938,19719,71.11
13135.000,0.987500,19752,80.00
13647.000,0.989062,19782,91.43
14671.000,0.990625,19813,106.67
21199.000,0.992188,19844,128.00
21887.000,0.992969,19860,142.22
24975.000,0.993750,19875,160.00
32111.000,0.994531,19891,182.86
33247.000,0.995313,19907,213.33
34911.000,0.996094,19922,256.00
158463.000,0.996484,19931,284.44
159615.000,0.996875,19938,320.00
161023.000,0.997266,19946,365.71
168319.000,0.997656,19954,426.67
169727.000,0.998047,19961,512.00
214783.000,0.998242,19967,568.89
215167.000,0.998437,19970,640.00
216191.000,0.998633,19973,731.43
250623.000,0.998828,19977,853.33
251647.000,0.999023,19981,1024.00
251903.000,0.999121,19983,1137.78
252927.000,0.999219,19985,1280.00
262655.000,0.999316,19987,1462.86
321279.000,0.999414,19989,1706.67
358911.000,0.999512,19991,2048.00
359167.000,0.999561,19993,2275.56
359167.000,0.999609,19993,2560.00
359423.000,0.999658,19994,2925.71
360191.000,0.999707,19996,3413.33
360191.000,0.999756,19996,4096.00
360191.000,0.999780,19996,4551.11
360703.000,0.999805,19997,5120.00
360703.000,0.999829,19997,5851.43
361471.000,0.999854,19998,6826.67
361471.000,0.999878,19998,8192.00
361471.000,0.999890,19998,9102.22
365823.000,0.999902,19999,10240.00
365823.000,0.999915,19999,11702.86
365823.000,0.999927,19999,13653.33
365823.000,0.999939,19999,16384.00
365823.000,0.999945,19999,18204.44
375295.000,0.999951,20000,20480.00
375295.000,1.000000,20000,inf
