Value,Percentile,TotalCount,1/(1-Percentile)
9679.000,0.000000,1,1.00
13311.000,0.100000,2057,1.11
13519.000,0.200000,4056,1.25
13631.000,0.300000,6067,1.43
13831.000,0.400000,8113,1.67
13999.000,0.500000,10008,2.00
14095.000,0.550000,11062,2.22
14191.000,0.600000,12021,2.50
14351.000,0.650000,13038,2.86
14503.000,0.700000,14011,3.33
14671.000,0.750000,15009,4.00
14823.000,0.775000,15525,4.44
14927.000,0.800000,16010,5.00
15119.000,0.825000,16514,5.71
15303.000,0.850000,17014,6.67
15503.000,0.875000,17501,8.00
15631.000,0.887500,17754,8.89
15799.000,0.900000,18003,10.00
15967.000,0.912500,18257,11.43
16215.000,0.925000,18510,13.33
16559.000,0.937500,18757,16.00
16783.000,0.943750,18876,17.78
17007.000,0.950000,19004,20.00
17279.000,0.956250,19125,22.86
17663.000,0.962500,19251,26.67
18159.000,0.968750,19379,32.00
18479.000,0.971875,19438,35.56
18799.000,0.975000,19503,40.00
19247.000,0.978125,19563,45.71
19903.000,0.981250,19628,53.33
20607.000,0.984375,19688,64.00
21007.000,0.985938,19720,71.11
22319.000,0.987500,19750,80.00
26287.000,0.989062,19782,91.43
27951.000,0.990625,19813,106.67
34751.000,0.992188,19844,128.00
38943.000,0.992969,19860,142.22
40287.000,0.993750,19875,160.00
164095.000,0.994531,19891,182.86
165503.000,0.995313,19907,213.33
173695.000,0.996094,19922,256.00
175231.000,0.996484,19930,284.44
177663.000,0.996875,19938,320.00
221183.000,0.997266,19949,365.71
222079.000,0.997656,19954,426.67
255999.000,0.998047,19961,512.00
256895.000,0.998242,19966,568.89
257279.000,0.998437,19969,640.00
258175.000,0.998633,19973,731.43
271615.000,0.998828,19977,853.33
329983.000,0.999023,19981,1024.00
364287.000,0.999121,19983,1137.78
365567.000,0.999219,19985,1280.00
367615.000,0.999316,19987,1462.86
373247.000,0.999414,19989,1706.67
379391.000,0.999512,19991,2048.00
380671.000,0.999561,19992,2275.56
381439.000,0.999609,19993,2560.00
381951.000,0.999658,19995,2925.71
381951.000,0.999707,19995,3413.33
387071.000,0.999756,19996,4096.00
387071.000,0.999780,19996,4551.11
392447.000,0.999805,19997,5120.00
392447.000,0.999829,19997,5851.43
396543.000,0.999854,19998,6826.67
396543.000,0.999878,19998,8192.00
396543.000,0.999890,19998,9102.22
404223.000,0.999902,19999,10240.00
404223.000,0.999915,19999,11702.86
404223.000,0.999927,19999,13653.33
404223.000,0.999939,19999,16384.00
404223.000,0.999945,19999,18204.44
410111.000,0.999951,20000,20480.00
410111.000,1.000000,20000,inf
