Value,Percentile,TotalCount,1/(1-Percentile)
14.000,0.000000,187,1.00
15.000,0.100000,2244,1.11
16.000,0.200000,5084,1.25
17.000,0.300000,6793,1.43
18.000,0.400000,9460,1.67
19.000,0.500000,13147,2.00
19.000,0.550000,13147,2.22
19.000,0.600000,13147,2.50
19.000,0.650000,13147,2.86
20.000,0.700000,16458,3.33
20.000,0.750000,16458,4.00
20.000,0.775000,16458,4.44
20.000,0.800000,16458,5.00
21.000,0.825000,18360,5.71
21.000,0.850000,18360,6.67
21.000,0.875000,18360,8.00
21.000,0.887500,18360,8.89
21.000,0.900000,18360,10.00
21.000,0.912500,18360,11.43
22.000,0.925000,19118,13.33
22.000,0.937500,19118,16.00
22.000,0.943750,19118,17.78
22.000,0.950000,19118,20.00
23.000,0.956250,19474,22.86
23.000,0.962500,19474,26.67
23.000,0.968750,19474,32.00
23.000,0.971875,19474,35.56
24.000,0.975000,19667,40.00
24.000,0.978125,19667,45.71
24.000,0.981250,19667,53.33
25.000,0.984375,19723,64.00
25.000,0.985938,19723,71.11
26.000,0.987500,19766,80.00
27.000,0.989062,19790,91.43
29.000,0.990625,19831,106.67
30.000,0.992188,19846,128.00
31.000,0.992969,19869,142.22
32.000,0.993750,19881,160.00
33.000,0.994531,19893,182.86
35.000,0.995313,19909,213.33
45.000,0.996094,19922,256.00
92.000,0.996484,19931,284.44
94.000,0.996875,19943,320.00
95.000,0.997266,19950,365.71
96.000,0.997656,19954,426.67
97.000,0.998047,19961,512.00
99.000,0.998242,19967,568.89
100.000,0.998437,19973,640.00
100.000,0.998633,19973,731.43
103.000,0.998828,19978,853.33
105.000,0.999023,19981,1024.00
106.000,0.999121,19983,1137.78
108.000,0.999219,19986,1280.00
109.000,0.999316,19987,1462.86
110.000,0.999414,19989,1706.67
112.000,0.999512,19991,2048.00
113.000,0.999561,19993,2275.56
113.000,0.999609,19993,2560.00
114.000,0.999658,19994,2925.71
138.000,0.999707,19995,3413.33
141.000,0.999756,19996,4096.00
141.000,0.999780,19996,4551.11
163.000,0.999805,19997,5120.00
163.000,0.999829,19997,5851.43
188.000,0.999854,19998,6826.67
188.000,0.999878,19998,8192.00
188.000,0.999890,19998,9102.22
220.000,0.999902,19999,10240.00
220.000,0.999915,19999,11702.86
220.000,0.999927,19999,13653.33
220.000,0.999939,19999,16384.00
220.000,0.999945,19999,18204.44
657.000,0.999951,20000,20480.00
657.000,1.000000,20000,inf
