Value,Percentile,TotalCount,1/(1-Percentile)
5539.000,0.000000,1,1.00
6723.000,0.100000,2113,1.11
6755.000,0.200000,4106,1.25
6783.000,0.300000,6152,1.43
6819.000,0.400000,8184,1.67
6867.000,0.500000,10084,2.00
6899.000,0.550000,11100,2.22
6931.000,0.600000,12003,2.50
6975.000,0.650000,13066,2.86
7031.000,0.700000,14006,3.33
7099.000,0.750000,15054,4.00
7131.000,0.775000,15534,4.44
7163.000,0.800000,16037,5.00
7191.000,0.825000,16520,5.71
7219.000,0.850000,17012,6.67
7247.000,0.875000,17506,8.00
7263.000,0.887500,17796,8.89
7275.000,0.900000,18008,10.00
7295.000,0.912500,18288,11.43
7315.000,0.925000,18520,13.33
7339.000,0.937500,18764,16.00
7355.000,0.943750,18886,17.78
7371.000,0.950000,19010,20.00
7391.000,0.956250,19135,22.86
7419.000,0.962500,19251,26.67
7463.000,0.968750,19388,32.00
7487.000,0.971875,19440,35.56
7523.000,0.975000,19500,40.00
7603.000,0.978125,19563,45.71
7931.000,0.981250,19625,53.33
9479.000,0.984375,19690,64.00
9919.000,0.985938,19719,71.11
10343.000,0.987500,19752,80.00
10903.000,0.989062,19782,91.43
16943.000,0.990625,19813,106.67
18991.000,0.992188,19844,128.00
19311.000,0.992969,19861,142.22
19599.000,0.993750,19875,160.00
20031.000,0.994531,19891,182.86
23983.000,0.995313,19907,213.33
29951.000,0.996094,19922,256.00
31087.000,0.996484,19930,284.44
31567.000,0.996875,19938,320.00
166015.000,0.997266,19946,365.71
166783.000,0.997656,19955,426.67
168063.000,0.998047,19961,512.00
177407.000,0.998242,19965,568.89
179327.000,0.998437,19969,640.00
221695.000,0.998633,19973,731.43
222591.000,0.998828,19977,853.33
223743.000,0.999023,19981,1024.00
258687.000,0.999121,19983,1137.78
258815.000,0.999219,19985,1280.00
259327.000,0.999316,19987,1462.86
260351.000,0.999414,19989,1706.67
364799.000,0.999512,19991,2048.00
366079.000,0.999561,19992,2275.56
366591.000,0.999609,19994,2560.00
366591.000,0.999658,19994,2925.71
366847.000,0.999707,19995,3413.33
367615.000,0.999756,19997,4096.00
367615.000,0.999780,19997,4551.11
367615.000,0.999805,19997,5120.00
367615.000,0.999829,19997,5851.43
368127.000,0.999854,19998,6826.67
368127.000,0.999878,19998,8192.00
368127.000,0.999890,19998,9102.22
368639.000,0.999902,19999,10240.00
368639.000,0.999915,19999,11702.86
368639.000,0.999927,19999,13653.33
368639.000,0.999939,19999,16384.00
368639.000,0.999945,19999,18204.44
371199.000,0.999951,20000,20480.00
371199.000,1.000000,20000,inf
