Value,Percentile,TotalCount,1/(1-Percentile)
10231.000,0.000000,1,1.00
11511.000,0.100000,2043,1.11
11559.000,0.200000,4030,1.25
11607.000,0.300000,6292,1.43
11647.000,0.400000,8163,1.67
11695.000,0.500000,10188,2.00
11719.000,0.550000,11087,2.22
11751.000,0.600000,12145,2.50
11783.000,0.650000,13203,2.86
11815.000,0.700000,14146,3.33
11855.000,0.750000,15210,4.00
11871.000,0.775000,15605,4.44
11895.000,0.800000,16126,5.00
11919.000,0.825000,16562,5.71
11951.000,0.850000,17083,6.67
11983.000,0.875000,17507,8.00
12007.000,0.887500,17776,8.89
12039.000,0.900000,18084,10.00
12063.000,0.912500,18306,11.43
12087.000,0.925000,18507,13.33
12119.000,0.937500,18763,16.00
12135.000,0.943750,18877,17.78
12159.000,0.950000,19026,20.00
12183.000,0.956250,19146,22.86
12207.000,0.962500,19275,26.67
12239.000,0.968750,19376,32.00
12263.000,0.971875,19444,35.56
12287.000,0.975000,19501,40.00
12335.000,0.978125,19574,45.71
12415.000,0.981250,19625,53.33
12871.000,0.984375,19688,64.00
13719.000,0.985938,19719,71.11
14727.000,0.987500,19751,80.00
15495.000,0.989062,19782,91.43
18031.000,0.990625,19813,106.67
21375.000,0.992188,19844,128.00
22783.000,0.992969,19860,142.22
23807.000,0.993750,19876,160.00
24303.000,0.994531,19891,182.86
24639.000,0.995313,19908,213.33
25791.000,0.996094,19922,256.00
29775.000,0.996484,19930,284.44
32447.000,0.996875,19938,320.00
35167.000,0.997266,19946,365.71
185855.000,0.997656,19954,426.67
187007.000,0.998047,19961,512.00
187647.000,0.998242,19965,568.89
265727.000,0.998437,19969,640.00
377855.000,0.998633,19973,731.43
379135.000,0.998828,19977,853.33
381695.000,0.999023,19981,1024.00
391679.000,0.999121,19984,1137.78
391935.000,0.999219,19987,1280.00
391935.000,0.999316,19987,1462.86
392959.000,0.999414,19989,1706.67
393471.000,0.999512,19991,2048.00
393727.000,0.999561,19992,2275.56
393983.000,0.999609,19993,2560.00
394495.000,0.999658,19994,2925.71
395007.000,0.999707,19995,3413.33
397567.000,0.999756,19996,4096.00
397567.000,0.999780,19996,4551.11
397823.000,0.999805,19997,5120.00
397823.000,0.999829,19997,5851.43
398079.000,0.999854,19998,6826.67
398079.000,0.999878,19998,8192.00
398079.000,0.999890,19998,9102.22
403711.000,0.999902,19999,10240.00
403711.000,0.999915,19999,11702.86
403711.000,0.999927,19999,13653.33
403711.000,0.999939,19999,16384.00
403711.000,0.999945,19999,18204.44
413695.000,0.999951,20000,20480.00
413695.000,1.000000,20000,inf
