Value,Percentile,TotalCount,1/(1-Percentile)
3531.000,0.000000,1,1.00
3817.000,0.100000,2081,1.11
3837.000,0.200000,4242,1.25
3851.000,0.300000,6147,1.43
3869.000,0.400000,8104,1.67
3905.000,0.500000,10000,2.00
3943.000,0.550000,11015,2.22
3983.000,0.600000,12044,2.50
4049.000,0.650000,13020,2.86
4091.000,0.700000,14046,3.33
4119.000,0.750000,15128,4.00
4131.000,0.775000,15513,4.44
4155.000,0.800000,16020,5.00
4199.000,0.825000,16524,5.71
4243.000,0.850000,17019,6.67
4299.000,0.875000,17514,8.00
4327.000,0.887500,17756,8.89
4351.000,0.900000,18011,10.00
4375.000,0.912500,18263,11.43
4407.000,0.925000,18525,13.33
4447.000,0.937500,18753,16.00
4475.000,0.943750,18884,17.78
4507.000,0.950000,19008,20.00
4539.000,0.956250,19134,22.86
4583.000,0.962500,19252,26.67
4635.000,0.968750,19382,32.00
4679.000,0.971875,19445,35.56
4719.000,0.975000,19500,40.00
4767.000,0.978125,19566,45.71
4839.000,0.981250,19625,53.33
4935.000,0.984375,19689,64.00
4983.000,0.985938,19720,71.11
5059.000,0.987500,19751,80.00
5215.000,0.989062,19782,91.43
5387.000,0.990625,19813,106.67
5755.000,0.992188,19844,128.00
6059.000,0.992969,19860,142.22
6495.000,0.993750,19875,160.00
7347.000,0.994531,19891,182.86
8059.000,0.995313,19907,213.33
16191.000,0.996094,19922,256.00
17311.000,0.996484,19930,284.44
26079.000,0.996875,19938,320.00
27167.000,0.997266,19946,365.71
27951.000,0.997656,19954,426.67
28671.000,0.998047,19961,512.00
29263.000,0.998242,19965,568.89
30175.000,0.998437,19969,640.00
154495.000,0.998633,19973,731.43
173311.000,0.998828,19977,853.33
203775.000,0.999023,19981,1024.00
210815.000,0.999121,19983,1137.78
250495.000,0.999219,19985,1280.00
273407.000,0.999316,19987,1462.86
300543.000,0.999414,19989,1706.67
310271.000,0.999512,19991,2048.00
314111.000,0.999561,19992,2275.56
318975.000,0.999609,19993,2560.00
320511.000,0.999658,19994,2925.71
332031.000,0.999707,19995,3413.33
442111.000,0.999756,19996,4096.00
442111.000,0.999780,19996,4551.11
463359.000,0.999805,19997,5120.00
463359.000,0.999829,19997,5851.43
517631.000,0.999854,19998,6826.67
517631.000,0.999878,19998,8192.00
517631.000,0.999890,19998,9102.22
521727.000,0.999902,19999,10240.00
521727.000,0.999915,19999,11702.86
521727.000,0.999927,19999,13653.33
521727.000,0.999939,19999,16384.00
521727.000,0.999945,19999,18204.44
816639.000,0.999951,20000,20480.00
816639.000,1.000000,20000,inf
