Value,Percentile,TotalCount,1/(1-Percentile)
14.000,0.000000,113,1.00
15.000,0.100000,2354,1.11
16.000,0.200000,7493,1.25
16.000,0.300000,7493,1.43
17.000,0.400000,10483,1.67
17.000,0.500000,10483,2.00
18.000,0.550000,12634,2.22
18.000,0.600000,12634,2.50
19.000,0.650000,15702,2.86
19.000,0.700000,15702,3.33
19.000,0.750000,15702,4.00
19.000,0.775000,15702,4.44
20.000,0.800000,17949,5.00
20.000,0.825000,17949,5.71
20.000,0.850000,17949,6.67
20.000,0.875000,17949,8.00
20.000,0.887500,17949,8.89
21.000,0.900000,19003,10.00
21.000,0.912500,19003,11.43
21.000,0.925000,19003,13.33
21.000,0.937500,19003,16.00
21.000,0.943750,19003,17.78
21.000,0.950000,19003,20.00
22.000,0.956250,19473,22.86
22.000,0.962500,19473,26.67
22.000,0.968750,19473,32.00
22.000,0.971875,19473,35.56
23.000,0.975000,19743,40.00
23.000,0.978125,19743,45.71
23.000,0.981250,19743,53.33
23.000,0.984375,19743,64.00
23.000,0.985938,19743,71.11
24.000,0.987500,19860,80.00
24.000,0.989062,19860,91.43
24.000,0.990625,19860,106.67
24.000,0.992188,19860,128.00
24.000,0.992969,19860,142.22
25.000,0.993750,19915,160.00
25.000,0.994531,19915,182.86
25.000,0.995313,19915,213.33
26.000,0.996094,19928,256.00
27.000,0.996484,19940,284.44
27.000,0.996875,19940,320.00
28.000,0.997266,19949,365.71
29.000,0.997656,19957,426.67
31.000,0.998047,19961,512.00
32.000,0.998242,19967,568.89
33.000,0.998437,19969,640.00
35.000,0.998633,19973,731.43
38.000,0.998828,19977,853.33
84.000,0.999023,19981,1024.00
93.000,0.999121,19983,1137.78
96.000,0.999219,19988,1280.00
96.000,0.999316,19988,1462.86
98.000,0.999414,19989,1706.67
106.000,0.999512,19991,2048.00
109.000,0.999561,19992,2275.56
110.000,0.999609,19993,2560.00
113.000,0.999658,19994,2925.71
114.000,0.999707,19995,3413.33
125.000,0.999756,19996,4096.00
125.000,0.999780,19996,4551.11
132.000,0.999805,19997,5120.00
132.000,0.999829,19997,5851.43
180.000,0.999854,19998,6826.67
180.000,0.999878,19998,8192.00
180.000,0.999890,19998,9102.22
233.000,0.999902,19999,10240.00
233.000,0.999915,19999,11702.86
233.000,0.999927,19999,13653.33
233.000,0.999939,19999,16384.00
233.000,0.999945,19999,18204.44
238.000,0.999951,20000,20480.00
238.000,1.000000,20000,inf
