Value,Percentile,TotalCount,1/(1-Percentile)
5751.000,0.000000,1,1.00
6283.000,0.100000,2042,1.11
6319.000,0.200000,4153,1.25
6347.000,0.300000,6182,1.43
6375.000,0.400000,8237,1.67
6407.000,0.500000,10179,2.00
6427.000,0.550000,11099,2.22
6455.000,0.600000,12057,2.50
6491.000,0.650000,13011,2.86
6539.000,0.700000,14033,3.33
6611.000,0.750000,15025,4.00
6651.000,0.775000,15517,4.44
6695.000,0.800000,16014,5.00
6739.000,0.825000,16534,5.71
6775.000,0.850000,17011,6.67
6811.000,0.875000,17534,8.00
6827.000,0.887500,17785,8.89
6843.000,0.900000,18048,10.00
6859.000,0.912500,18277,11.43
6879.000,0.925000,18538,13.33
6899.000,0.937500,18758,16.00
6915.000,0.943750,18904,17.78
6927.000,0.950000,19009,20.00
6947.000,0.956250,19143,22.86
6967.000,0.962500,19271,26.67
6991.000,0.968750,19375,32.00
7015.000,0.971875,19449,35.56
7039.000,0.975000,19507,40.00
7083.000,0.978125,19566,45.71
7163.000,0.981250,19625,53.33
7475.000,0.984375,19689,64.00
7971.000,0.985938,19719,71.11
8591.000,0.987500,19750,80.00
9375.000,0.989062,19782,91.43
10031.000,0.990625,19813,106.67
13071.000,0.992188,19844,128.00
17935.000,0.992969,19860,142.22
19103.000,0.993750,19875,160.00
19839.000,0.994531,19891,182.86
28527.000,0.995313,19907,213.33
30895.000,0.996094,19922,256.00
31199.000,0.996484,19930,284.44
32271.000,0.996875,19938,320.00
44447.000,0.997266,19946,365.71
157823.000,0.997656,19956,426.67
158207.000,0.998047,19961,512.00
159487.000,0.998242,19965,568.89
168319.000,0.998437,19970,640.00
169215.000,0.998633,19973,731.43
214911.000,0.998828,19978,853.33
215167.000,0.999023,19981,1024.00
216447.000,0.999121,19983,1137.78
249727.000,0.999219,19985,1280.00
250495.000,0.999316,19987,1462.86
251135.000,0.999414,19990,1706.67
251519.000,0.999512,19991,2048.00
251775.000,0.999561,19992,2275.56
373503.000,0.999609,19994,2560.00
373503.000,0.999658,19994,2925.71
373759.000,0.999707,19995,3413.33
374783.000,0.999756,19996,4096.00
374783.000,0.999780,19996,4551.11
375039.000,0.999805,19998,5120.00
375039.000,0.999829,19998,5851.43
375039.000,0.999854,19998,6826.67
375039.000,0.999878,19998,8192.00
375039.000,0.999890,19998,9102.22
388607.000,0.999902,19999,10240.00
388607.000,0.999915,19999,11702.86
388607.000,0.999927,19999,13653.33
388607.000,0.999939,19999,16384.00
388607.000,0.999945,19999,18204.44
398591.000,0.999951,20000,20480.00
398591.000,1.000000,20000,inf
