Value,Percentile,TotalCount,1/(1-Percentile)
240.000,0.000000,1,1.00
399.000,0.100000,513,1.11
436.000,0.200000,1000,1.25
475.000,0.300000,1508,1.43
521.000,0.400000,2000,1.67
573.000,0.500000,2504,2.00
603.000,0.550000,2756,2.22
634.000,0.600000,3000,2.50
672.000,0.650000,3258,2.86
719.000,0.700000,3503,3.33
761.000,0.750000,3756,4.00
789.000,0.775000,3878,4.44
818.000,0.800000,4002,5.00
868.000,0.825000,4125,5.71
937.000,0.850000,4250,6.67
1048.000,0.875000,4377,8.00
1104.000,0.887500,4438,8.89
1152.000,0.900000,4502,10.00
1202.000,0.912500,4565,11.43
1254.000,0.925000,4625,13.33
1303.000,0.937500,4689,16.00
1332.000,0.943750,4719,17.78
1362.000,0.950000,4750,20.00
1400.000,0.956250,4782,22.86
1448.000,0.962500,4813,26.67
1501.000,0.968750,4844,32.00
1520.000,0.971875,4860,35.56
1554.000,0.975000,4875,40.00
1572.000,0.978125,4891,45.71
1622.000,0.981250,4907,53.33
1666.000,0.984375,4922,64.00
1695.000,0.985938,4930,71.11
1715.000,0.987500,4938,80.00
1730.000,0.989062,4946,91.43
1772.000,0.990625,4954,106.67
1810.000,0.992188,4961,128.00
1836.000,0.992969,4965,142.22
1886.000,0.993750,4969,160.00
1911.000,0.994531,4973,182.86
1995.000,0.995313,4977,213.33
2071.000,0.996094,4981,256.00
2099.000,0.996484,4983,284.44
2123.000,0.996875,4985,320.00
2247.000,0.997266,4987,365.71
2287.000,0.997656,4989,426.67
2319.000,0.998047,4991,512.00
2609.000,0.998242,4992,568.89
3051.000,0.998437,4993,640.00
3231.000,0.998633,4994,731.43
3293.000,0.998828,4995,853.33
3419.000,0.999023,4996,1024.00
3419.000,0.999121,4996,1137.78
3685.000,0.999219,4997,1280.00
3685.000,0.999316,4997,1462.86
14423.000,0.999414,4998,1706.67
14423.000,0.999512,4998,2048.00
14423.000,0.999561,4998,2275.56
14807.000,0.999609,4999,2560.00
14807.000,0.999658,4999,2925.71
14807.000,0.999707,4999,3413.33
14807.000,0.999756,4999,4096.00
14807.000,0.999780,4999,4551.11
26879.000,0.999805,5000,5120.00
26879.000,1.000000,5000,inf
