Value,Percentile,TotalCount,1/(1-Percentile)
6363.000,0.000000,1,1.00
6727.000,0.100000,511,1.11
6811.000,0.200000,1016,1.25
6879.000,0.300000,1524,1.43
6947.000,0.400000,2000,1.67
7051.000,0.500000,2519,2.00
7123.000,0.550000,2757,2.22
7271.000,0.600000,3000,2.50
7583.000,0.650000,3250,2.86
8567.000,0.700000,3505,3.33
8775.000,0.750000,3757,4.00
8863.000,0.775000,3876,4.44
8935.000,0.800000,4005,5.00
9015.000,0.825000,4131,5.71
9095.000,0.850000,4252,6.67
9191.000,0.875000,4379,8.00
9247.000,0.887500,4444,8.89
9311.000,0.900000,4509,10.00
9375.000,0.912500,4565,11.43
9431.000,0.925000,4629,13.33
9511.000,0.937500,4692,16.00
9567.000,0.943750,4723,17.78
9647.000,0.950000,4753,20.00
9783.000,0.956250,4783,22.86
10039.000,0.962500,4814,26.67
10263.000,0.968750,4844,32.00
10447.000,0.971875,4860,35.56
10663.000,0.975000,4875,40.00
10991.000,0.978125,4891,45.71
11271.000,0.981250,4907,53.33
11719.000,0.984375,4923,64.00
11951.000,0.985938,4930,71.11
12311.000,0.987500,4938,80.00
12615.000,0.989062,4947,91.43
12871.000,0.990625,4954,106.67
13359.000,0.992188,4961,128.00
13791.000,0.992969,4965,142.22
14111.000,0.993750,4969,160.00
16943.000,0.994531,4973,182.86
18463.000,0.995313,4977,213.33
19647.000,0.996094,4981,256.00
20031.000,0.996484,4983,284.44
20431.000,0.996875,4985,320.00
21663.000,0.997266,4987,365.71
22303.000,0.997656,4989,426.67
23983.000,0.998047,4991,512.00
31951.000,0.998242,4992,568.89
33215.000,0.998437,4993,640.00
34303.000,0.998633,4994,731.43
34719.000,0.998828,4995,853.33
245375.000,0.999023,4996,1024.00
245375.000,0.999121,4996,1137.78
259839.000,0.999219,4997,1280.00
259839.000,0.999316,4997,1462.86
260607.000,0.999414,4998,1706.67
260607.000,0.999512,4998,2048.00
260607.000,0.999561,4998,2275.56
437247.000,0.999609,4999,2560.00
437247.000,0.999658,4999,2925.71
437247.000,0.999707,4999,3413.33
437247.000,0.999756,4999,4096.00
437247.000,0.999780,4999,4551.11
456447.000,0.999805,5000,5120.00
456447.000,1.000000,5000,inf
