Value,Percentile,TotalCount,1/(1-Percentile)
5211.000,0.000000,1,1.00
6167.000,0.100000,510,1.11
6259.000,0.200000,1007,1.25
6335.000,0.300000,1515,1.43
6411.000,0.400000,2009,1.67
6495.000,0.500000,2510,2.00
6547.000,0.550000,2754,2.22
6631.000,0.600000,3002,2.50
6939.000,0.650000,3251,2.86
7411.000,0.700000,3501,3.33
7775.000,0.750000,3754,4.00
7895.000,0.775000,3878,4.44
7995.000,0.800000,4007,5.00
8091.000,0.825000,4128,5.71
8167.000,0.850000,4250,6.67
8263.000,0.875000,4379,8.00
8319.000,0.887500,4444,8.89
8375.000,0.900000,4511,10.00
8415.000,0.912500,4564,11.43
8503.000,0.925000,4630,13.33
8607.000,0.937500,4691,16.00
8671.000,0.943750,4720,17.78
8719.000,0.950000,4752,20.00
8799.000,0.956250,4782,22.86
8951.000,0.962500,4813,26.67
9255.000,0.968750,4844,32.00
9399.000,0.971875,4860,35.56
9631.000,0.975000,4877,40.00
9767.000,0.978125,4891,45.71
9991.000,0.981250,4907,53.33
10383.000,0.984375,4922,64.00
10575.000,0.985938,4930,71.11
10775.000,0.987500,4938,80.00
11127.000,0.989062,4947,91.43
11399.000,0.990625,4954,106.67
11807.000,0.992188,4961,128.00
12279.000,0.992969,4965,142.22
12655.000,0.993750,4969,160.00
12967.000,0.994531,4973,182.86
16959.000,0.995313,4977,213.33
17615.000,0.996094,4981,256.00
18431.000,0.996484,4983,284.44
18831.000,0.996875,4985,320.00
19519.000,0.997266,4987,365.71
20335.000,0.997656,4989,426.67
21007.000,0.998047,4991,512.00
22431.000,0.998242,4992,568.89
30303.000,0.998437,4993,640.00
32047.000,0.998633,4994,731.43
33663.000,0.998828,4995,853.33
244223.000,0.999023,4996,1024.00
244223.000,0.999121,4996,1137.78
259327.000,0.999219,4997,1280.00
259327.000,0.999316,4997,1462.86
259967.000,0.999414,4998,1706.67
259967.000,0.999512,4998,2048.00
259967.000,0.999561,4998,2275.56
435967.000,0.999609,4999,2560.00
435967.000,0.999658,4999,2925.71
435967.000,0.999707,4999,3413.33
435967.000,0.999756,4999,4096.00
435967.000,0.999780,4999,4551.11
455167.000,0.999805,5000,5120.00
455167.000,1.000000,5000,inf
