Value,Percentile,TotalCount,1/(1-Percentile)
209.000,0.000000,1,1.00
381.000,0.100000,512,1.11
406.000,0.200000,1008,1.25
431.000,0.300000,1505,1.43
458.000,0.400000,2017,1.67
488.000,0.500000,2516,2.00
505.000,0.550000,2763,2.22
526.000,0.600000,3006,2.50
557.000,0.650000,3255,2.86
594.000,0.700000,3503,3.33
658.000,0.750000,3751,4.00
701.000,0.775000,3881,4.44
742.000,0.800000,4000,5.00
791.000,0.825000,4125,5.71
843.000,0.850000,4252,6.67
901.000,0.875000,4376,8.00
942.000,0.887500,4438,8.89
978.000,0.900000,4502,10.00
1015.000,0.912500,4566,11.43
1042.000,0.925000,4626,13.33
1082.000,0.937500,4691,16.00
1098.000,0.943750,4720,17.78
1123.000,0.950000,4750,20.00
1149.000,0.956250,4784,22.86
1171.000,0.962500,4813,26.67
1200.000,0.968750,4846,32.00
1216.000,0.971875,4860,35.56
1244.000,0.975000,4876,40.00
1264.000,0.978125,4891,45.71
1307.000,0.981250,4907,53.33
1367.000,0.984375,4922,64.00
1393.000,0.985938,4930,71.11
1432.000,0.987500,4938,80.00
1483.000,0.989062,4946,91.43
1537.000,0.990625,4954,106.67
1613.000,0.992188,4961,128.00
1653.000,0.992969,4965,142.22
1769.000,0.993750,4969,160.00
1829.000,0.994531,4973,182.86
1887.000,0.995313,4977,213.33
2185.000,0.996094,4981,256.00
2225.000,0.996484,4983,284.44
2387.000,0.996875,4985,320.00
2487.000,0.997266,4987,365.71
2627.000,0.997656,4989,426.67
2743.000,0.998047,4991,512.00
3175.000,0.998242,4992,568.89
3261.000,0.998437,4993,640.00
3285.000,0.998633,4994,731.43
4061.000,0.998828,4995,853.33
4747.000,0.999023,4996,1024.00
4747.000,0.999121,4996,1137.78
4967.000,0.999219,4997,1280.00
4967.000,0.999316,4997,1462.86
5307.000,0.999414,4998,1706.67
5307.000,0.999512,4998,2048.00
5307.000,0.999561,4998,2275.56
14343.000,0.999609,4999,2560.00
14343.000,0.999658,4999,2925.71
14343.000,0.999707,4999,3413.33
14343.000,0.999756,4999,4096.00
14343.000,0.999780,4999,4551.11
14879.000,0.999805,5000,5120.00
14879.000,1.000000,5000,inf
