Value,Percentile,TotalCount,1/(1-Percentile)
14.000,0.000000,4,1.00
16.000,0.100000,907,1.11
17.000,0.200000,1387,1.25
18.000,0.300000,1823,1.43
19.000,0.400000,2679,1.67
19.000,0.500000,2679,2.00
20.000,0.550000,3856,2.22
20.000,0.600000,3856,2.50
20.000,0.650000,3856,2.86
20.000,0.700000,3856,3.33
20.000,0.750000,3856,4.00
21.000,0.775000,4587,4.44
21.000,0.800000,4587,5.00
21.000,0.825000,4587,5.71
21.000,0.850000,4587,6.67
21.000,0.875000,4587,8.00
21.000,0.887500,4587,8.89
21.000,0.900000,4587,10.00
21.000,0.912500,4587,11.43
22.000,0.925000,4842,13.33
22.000,0.937500,4842,16.00
22.000,0.943750,4842,17.78
22.000,0.950000,4842,20.00
22.000,0.956250,4842,22.86
22.000,0.962500,4842,26.67
23.000,0.968750,4945,32.00
23.000,0.971875,4945,35.56
23.000,0.975000,4945,40.00
23.000,0.978125,4945,45.71
23.000,0.981250,4945,53.33
23.000,0.984375,4945,64.00
23.000,0.985938,4945,71.11
23.000,0.987500,4945,80.00
24.000,0.989062,4966,91.43
24.000,0.990625,4966,106.67
24.000,0.992188,4966,128.00
24.000,0.992969,4966,142.22
25.000,0.993750,4979,160.00
25.000,0.994531,4979,182.86
25.000,0.995313,4979,213.33
26.000,0.996094,4981,256.00
27.000,0.996484,4984,284.44
30.000,0.996875,4985,320.00
32.000,0.997266,4989,365.71
32.000,0.997656,4989,426.67
33.000,0.998047,4991,512.00
34.000,0.998242,4992,568.89
40.000,0.998437,4993,640.00
45.000,0.998633,4994,731.43
94.000,0.998828,4995,853.33
95.000,0.999023,4996,1024.00
95.000,0.999121,4996,1137.78
96.000,0.999219,4997,1280.00
96.000,0.999316,4997,1462.86
98.000,0.999414,4998,1706.67
98.000,0.999512,4998,2048.00
98.000,0.999561,4998,2275.56
106.000,0.999609,4999,2560.00
106.000,0.999658,4999,2925.71
106.000,0.999707,4999,3413.33
106.000,0.999756,4999,4096.00
106.000,0.999780,4999,4551.11
118.000,0.999805,5000,5120.00
118.000,1.000000,5000,inf
