Value,Percentile,TotalCount,1/(1-Percentile)
3931.000,0.000000,1,1.00
4467.000,0.100000,511,1.11
4519.000,0.200000,1044,1.25
4551.000,0.300000,1532,1.43
4579.000,0.400000,2048,1.67
4603.000,0.500000,2517,2.00
4615.000,0.550000,2750,2.22
4631.000,0.600000,3032,2.50
4647.000,0.650000,3298,2.86
4663.000,0.700000,3545,3.33
4679.000,0.750000,3755,4.00
4691.000,0.775000,3878,4.44
4711.000,0.800000,4023,5.00
4723.000,0.825000,4133,5.71
4743.000,0.850000,4257,6.67
4767.000,0.875000,4378,8.00
4783.000,0.887500,4440,8.89
4807.000,0.900000,4502,10.00
4839.000,0.912500,4565,11.43
4871.000,0.925000,4629,13.33
4915.000,0.937500,4689,16.00
4943.000,0.943750,4720,17.78
4979.000,0.950000,4751,20.00
4999.000,0.956250,4784,22.86
5035.000,0.962500,4816,26.67
5067.000,0.968750,4846,32.00
5087.000,0.971875,4862,35.56
5107.000,0.975000,4877,40.00
5127.000,0.978125,4893,45.71
5155.000,0.981250,4909,53.33
5191.000,0.984375,4922,64.00
5239.000,0.985938,4931,71.11
5307.000,0.987500,4939,80.00
5407.000,0.989062,4946,91.43
5595.000,0.990625,4954,106.67
5955.000,0.992188,4961,128.00
6143.000,0.992969,4965,142.22
6431.000,0.993750,4969,160.00
6667.000,0.994531,4973,182.86
7411.000,0.995313,4977,213.33
8007.000,0.996094,4981,256.00
10719.000,0.996484,4983,284.44
13895.000,0.996875,4985,320.00
16191.000,0.997266,4987,365.71
27439.000,0.997656,4989,426.67
29583.000,0.998047,4991,512.00
179583.000,0.998242,4992,568.89
180223.000,0.998437,4993,640.00
181119.000,0.998633,4994,731.43
250495.000,0.998828,4995,853.33
251775.000,0.999023,4996,1024.00
251775.000,0.999121,4996,1137.78
334591.000,0.999219,4997,1280.00
334591.000,0.999316,4997,1462.86
337151.000,0.999414,4998,1706.67
337151.000,0.999512,4998,2048.00
337151.000,0.999561,4998,2275.56
422399.000,0.999609,4999,2560.00
422399.000,0.999658,4999,2925.71
422399.000,0.999707,4999,3413.33
422399.000,0.999756,4999,4096.00
422399.000,0.999780,4999,4551.11
429055.000,0.999805,5000,5120.00
429055.000,1.000000,5000,inf
