Value,Percentile,TotalCount,1/(1-Percentile)
1852.000,0.000000,1,1.00
4411.000,0.100000,514,1.11
4463.000,0.200000,1049,1.25
4495.000,0.300000,1541,1.43
4523.000,0.400000,2077,1.67
4547.000,0.500000,2533,2.00
4559.000,0.550000,2761,2.22
4575.000,0.600000,3040,2.50
4591.000,0.650000,3316,2.86
4607.000,0.700000,3550,3.33
4623.000,0.750000,3762,4.00
4635.000,0.775000,3883,4.44
4651.000,0.800000,4001,5.00
4667.000,0.825000,4143,5.71
4687.000,0.850000,4262,6.67
4711.000,0.875000,4378,8.00
4727.000,0.887500,4444,8.89
4751.000,0.900000,4501,10.00
4779.000,0.912500,4563,11.43
4815.000,0.925000,4628,13.33
4859.000,0.937500,4688,16.00
4887.000,0.943750,4721,17.78
4923.000,0.950000,4752,20.00
4943.000,0.956250,4785,22.86
4979.000,0.962500,4816,26.67
5011.000,0.968750,4847,32.00
5031.000,0.971875,4861,35.56
5051.000,0.975000,4879,40.00
5067.000,0.978125,4891,45.71
5095.000,0.981250,4909,53.33
5135.000,0.984375,4922,64.00
5179.000,0.985938,4930,71.11
5247.000,0.987500,4938,80.00
5351.000,0.989062,4946,91.43
5539.000,0.990625,4954,106.67
5895.000,0.992188,4961,128.00
6083.000,0.992969,4965,142.22
6347.000,0.993750,4969,160.00
6611.000,0.994531,4973,182.86
7355.000,0.995313,4977,213.33
7955.000,0.996094,4981,256.00
10655.000,0.996484,4983,284.44
13839.000,0.996875,4985,320.00
16135.000,0.997266,4987,365.71
27375.000,0.997656,4989,426.67
29503.000,0.998047,4991,512.00
179583.000,0.998242,4992,568.89
180095.000,0.998437,4993,640.00
180991.000,0.998633,4994,731.43
250367.000,0.998828,4995,853.33
251775.000,0.999023,4996,1024.00
251775.000,0.999121,4996,1137.78
334591.000,0.999219,4997,1280.00
334591.000,0.999316,4997,1462.86
337151.000,0.999414,4998,1706.67
337151.000,0.999512,4998,2048.00
337151.000,0.999561,4998,2275.56
422399.000,0.999609,4999,2560.00
422399.000,0.999658,4999,2925.71
422399.000,0.999707,4999,3413.33
422399.000,0.999756,4999,4096.00
422399.000,0.999780,4999,4551.11
429055.000,0.999805,5000,5120.00
429055.000,1.000000,5000,inf
