Value,Percentile,TotalCount,1/(1-Percentile)
14.000,0.000000,20,1.00
16.000,0.100000,794,1.11
17.000,0.200000,1016,1.25
19.000,0.300000,2747,1.43
19.000,0.400000,2747,1.67
19.000,0.500000,2747,2.00
20.000,0.550000,4113,2.22
20.000,0.600000,4113,2.50
20.000,0.650000,4113,2.86
20.000,0.700000,4113,3.33
20.000,0.750000,4113,4.00
20.000,0.775000,4113,4.44
20.000,0.800000,4113,5.00
21.000,0.825000,4655,5.71
21.000,0.850000,4655,6.67
21.000,0.875000,4655,8.00
21.000,0.887500,4655,8.89
21.000,0.900000,4655,10.00
21.000,0.912500,4655,11.43
21.000,0.925000,4655,13.33
22.000,0.937500,4849,16.00
22.000,0.943750,4849,17.78
22.000,0.950000,4849,20.00
22.000,0.956250,4849,22.86
22.000,0.962500,4849,26.67
22.000,0.968750,4849,32.00
23.000,0.971875,4908,35.56
23.000,0.975000,4908,40.00
23.000,0.978125,4908,45.71
23.000,0.981250,4908,53.33
24.000,0.984375,4948,64.00
24.000,0.985938,4948,71.11
24.000,0.987500,4948,80.00
24.000,0.989062,4948,91.43
25.000,0.990625,4970,106.67
25.000,0.992188,4970,128.00
25.000,0.992969,4970,142.22
25.000,0.993750,4970,160.00
26.000,0.994531,4983,182.86
26.000,0.995313,4983,213.33
26.000,0.996094,4983,256.00
26.000,0.996484,4983,284.44
27.000,0.996875,4991,320.00
27.000,0.997266,4991,365.71
27.000,0.997656,4991,426.67
27.000,0.998047,4991,512.00
29.000,0.998242,4993,568.89
29.000,0.998437,4993,640.00
30.000,0.998633,4994,731.43
32.000,0.998828,4995,853.33
33.000,0.999023,4996,1024.00
33.000,0.999121,4996,1137.78
38.000,0.999219,4997,1280.00
38.000,0.999316,4997,1462.86
99.000,0.999414,4998,1706.67
99.000,0.999512,4998,2048.00
99.000,0.999561,4998,2275.56
113.000,0.999609,4999,2560.00
113.000,0.999658,4999,2925.71
113.000,0.999707,4999,3413.33
113.000,0.999756,4999,4096.00
113.000,0.999780,4999,4551.11
154.000,0.999805,5000,5120.00
154.000,1.000000,5000,inf
