Value,Percentile,TotalCount,1/(1-Percentile)
3815.000,0.000000,1,1.00
4127.000,0.100000,559,1.11
4147.000,0.200000,1081,1.25
4159.000,0.300000,1515,1.43
4175.000,0.400000,2007,1.67
4203.000,0.500000,2503,2.00
4231.000,0.550000,2758,2.22
4271.000,0.600000,3014,2.50
4323.000,0.650000,3264,2.86
4387.000,0.700000,3500,3.33
4419.000,0.750000,3751,4.00
4435.000,0.775000,3912,4.44
4447.000,0.800000,4033,5.00
4459.000,0.825000,4126,5.71
4479.000,0.850000,4260,6.67
4515.000,0.875000,4376,8.00
4539.000,0.887500,4447,8.89
4563.000,0.900000,4506,10.00
4607.000,0.912500,4569,11.43
4659.000,0.925000,4627,13.33
4695.000,0.937500,4691,16.00
4723.000,0.943750,4725,17.78
4743.000,0.950000,4755,20.00
4775.000,0.956250,4786,22.86
4815.000,0.962500,4813,26.67
4867.000,0.968750,4845,32.00
4895.000,0.971875,4860,35.56
4927.000,0.975000,4875,40.00
4995.000,0.978125,4891,45.71
5087.000,0.981250,4908,53.33
5259.000,0.984375,4922,64.00
5415.000,0.985938,4930,71.11
5651.000,0.987500,4938,80.00
6023.000,0.989062,4946,91.43
6363.000,0.990625,4954,106.67
7551.000,0.992188,4961,128.00
8023.000,0.992969,4965,142.22
8263.000,0.993750,4969,160.00
12863.000,0.994531,4973,182.86
14799.000,0.995313,4977,213.33
15159.000,0.996094,4981,256.00
17311.000,0.996484,4983,284.44
18575.000,0.996875,4985,320.00
27407.000,0.997266,4987,365.71
28847.000,0.997656,4989,426.67
29407.000,0.998047,4991,512.00
30799.000,0.998242,4992,568.89
164607.000,0.998437,4993,640.00
165503.000,0.998633,4994,731.43
165887.000,0.998828,4995,853.33
170367.000,0.999023,4996,1024.00
170367.000,0.999121,4996,1137.78
240767.000,0.999219,4997,1280.00
240767.000,0.999316,4997,1462.86
323839.000,0.999414,4998,1706.67
323839.000,0.999512,4998,2048.00
323839.000,0.999561,4998,2275.56
426751.000,0.999609,4999,2560.00
426751.000,0.999658,4999,2925.71
426751.000,0.999707,4999,3413.33
426751.000,0.999756,4999,4096.00
426751.000,0.999780,4999,4551.11
431359.000,0.999805,5000,5120.00
431359.000,1.000000,5000,inf
