name,status,count,p50_ns,p90_ns,p99_ns,p99_9_ns,mean_ns,max_ns,reason
"qleaf/cpu/compact/branch/nothread",ok,20000,21199,23279,37599,50431,21968.4,62431,""
"qleaf/cpu/compact/bitmask/nothread",ok,20000,265215,270591,289791,297215,265487,314879,""
"qleaf/cpu/compact/branch/threads:1",ok,20000,10279,10855,13311,18959,10433.3,32751,""
"qleaf/cpu/compact/bitmask/threads:1",ok,20000,199039,203519,209151,214911,198974,225663,""
"qleaf/cpu/compact/branch/threads:2",ok,20000,19919,20623,22303,25919,19993,38975,""
"qleaf/cpu/compact/bitmask/threads:2",ok,20000,161151,164095,168831,173951,161417,194687,""
"qleaf/cpu/compact/branch/threads:4",ok,20000,9695,10247,11879,16367,9798.27,48031,""
"qleaf/cpu/compact/bitmask/threads:4",ok,20000,74111,75711,77887,86975,74300,104895,""
"qleaf/cpu/compact/branch/threads:8",ok,20000,5051,5355,5943,9007,5095.4,31215,""
"qleaf/cpu/compact/bitmask/threads:8",ok,20000,38847,40063,42687,57855,39077.2,131711,""
"qleaf/cpu/compact/branch/threads:16",ok,20000,3057,3271,3595,7271,3094.14,51295,""
"qleaf/cpu/compact/bitmask/threads:16",ok,20000,20399,20815,22479,29407,20477.9,44895,""
