name,status,count,p50_ns,p90_ns,p99_ns,p99_9_ns,mean_ns,max_ns,reason
nvforest/gpu/input:host/output:host/layout:depth_first/rows_per_block_iter:1/align_bytes:0,ok,20000,27679,28703,40959,449023,29242.2,486655,
nvforest/gpu/input:device/output:host/layout:depth_first/rows_per_block_iter:1/align_bytes:0,ok,20000,24543,24879,32863,446719,25665.7,462591,
nvforest/gpu/input:device/output:device_sync/layout:depth_first/rows_per_block_iter:1/align_bytes:0,ok,20000,16087,16735,21135,221567,16966.8,490239,
nvforest/gpu/input:host/output:host/layout:depth_first/rows_per_block_iter:1/align_bytes:64,ok,20000,27647,28639,35007,444927,29029.8,473855,
nvforest/gpu/input:device/output:host/layout:depth_first/rows_per_block_iter:1/align_bytes:64,ok,20000,24543,24895,32671,442623,25658.2,470015,
nvforest/gpu/input:device/output:device_sync/layout:depth_first/rows_per_block_iter:1/align_bytes:64,ok,20000,16223,16927,20879,313343,17154.6,467967,
nvforest/gpu/input:host/output:host/layout:layered/rows_per_block_iter:1/align_bytes:0,ok,20000,27679,28719,38911,445183,29209.9,479743,
nvforest/gpu/input:device/output:host/layout:layered/rows_per_block_iter:1/align_bytes:0,ok,20000,24543,24959,29503,438783,25659.7,471807,
nvforest/gpu/input:device/output:device_sync/layout:layered/rows_per_block_iter:1/align_bytes:0,ok,20000,16239,16799,19743,291583,17087.3,468991,
nvforest/gpu/input:host/output:host/layout:layered/rows_per_block_iter:1/align_bytes:64,ok,20000,28527,28879,39007,447231,29534.2,500479,
nvforest/gpu/input:device/output:host/layout:layered/rows_per_block_iter:1/align_bytes:64,ok,20000,24559,24991,30015,435455,25670.7,470783,
nvforest/gpu/input:device/output:device_sync/layout:layered/rows_per_block_iter:1/align_bytes:64,ok,20000,16255,16799,19807,429311,17101.1,463359,
nvforest/gpu/input:host/output:host/layout:breadth_first/rows_per_block_iter:1/align_bytes:0,ok,20000,28175,28799,37887,449023,29418.2,475391,
nvforest/gpu/input:device/output:host/layout:breadth_first/rows_per_block_iter:1/align_bytes:0,ok,20000,24559,25023,31839,436735,25702.6,472319,
nvforest/gpu/input:device/output:device_sync/layout:breadth_first/rows_per_block_iter:1/align_bytes:0,ok,20000,16295,16815,20127,288255,17133.1,461567,
nvforest/gpu/input:host/output:host/layout:breadth_first/rows_per_block_iter:1/align_bytes:64,ok,20000,28607,28959,38847,447487,29727.3,490751,
nvforest/gpu/input:device/output:host/layout:breadth_first/rows_per_block_iter:1/align_bytes:64,ok,20000,24559,25119,28671,443647,25701.7,476671,
nvforest/gpu/input:device/output:device_sync/layout:breadth_first/rows_per_block_iter:1/align_bytes:64,ok,20000,16215,16719,20479,313087,17101.4,458751,
