name,status,count,p50_ns,p90_ns,p99_ns,p99_9_ns,mean_ns,max_ns,reason
nvforest/gpu/input:host/output:host/layout:depth_first/rows_per_block_iter:1/align_bytes:0,ok,100000,37951,38879,41279,42431,38173,68095,
nvforest/gpu/input:device/output:host/layout:depth_first/rows_per_block_iter:1/align_bytes:0,ok,100000,31231,38815,39167,41567,33023.1,68031,
nvforest/gpu/input:device/output:device_sync/layout:depth_first/rows_per_block_iter:1/align_bytes:0,ok,100000,23295,23807,24015,26127,23367.9,49663,
nvforest/gpu/input:host/output:host/layout:depth_first/rows_per_block_iter:1/align_bytes:64,ok,100000,116671,117823,121407,123327,116801,183423,
nvforest/gpu/input:device/output:host/layout:depth_first/rows_per_block_iter:1/align_bytes:64,ok,100000,38559,39007,39391,42047,35697.4,62751,
nvforest/gpu/input:device/output:device_sync/layout:depth_first/rows_per_block_iter:1/align_bytes:64,ok,100000,23567,24079,24543,26511,23669.7,52415,
nvforest/gpu/input:host/output:host/layout:layered/rows_per_block_iter:1/align_bytes:0,ok,100000,38719,39071,41663,42655,38621.2,71615,
nvforest/gpu/input:device/output:host/layout:layered/rows_per_block_iter:1/align_bytes:0,ok,100000,38783,39071,39487,42015,36708,69503,
nvforest/gpu/input:device/output:device_sync/layout:layered/rows_per_block_iter:1/align_bytes:0,ok,100000,23759,23999,24543,26543,23666.7,51967,
nvforest/gpu/input:host/output:host/layout:layered/rows_per_block_iter:1/align_bytes:64,ok,100000,38911,39839,42239,43359,39124.5,72895,
nvforest/gpu/input:device/output:host/layout:layered/rows_per_block_iter:1/align_bytes:64,ok,100000,31839,39551,40095,42495,34427.4,64351,
nvforest/gpu/input:device/output:device_sync/layout:layered/rows_per_block_iter:1/align_bytes:64,ok,100000,23727,23999,24479,26479,23638.5,49279,
nvforest/gpu/input:host/output:host/layout:breadth_first/rows_per_block_iter:1/align_bytes:0,ok,100000,38847,39263,42015,43039,38911.9,73215,
nvforest/gpu/input:device/output:host/layout:breadth_first/rows_per_block_iter:1/align_bytes:0,ok,100000,38783,39135,39967,42239,36704.6,59039,
nvforest/gpu/input:device/output:device_sync/layout:breadth_first/rows_per_block_iter:1/align_bytes:0,ok,100000,23951,24143,24639,26559,23899.1,50335,
nvforest/gpu/input:host/output:host/layout:breadth_first/rows_per_block_iter:1/align_bytes:64,ok,100000,117247,118719,121983,124095,117484,160767,
nvforest/gpu/input:device/output:host/layout:breadth_first/rows_per_block_iter:1/align_bytes:64,ok,100000,38815,39071,39615,42143,36976.7,67455,
nvforest/gpu/input:device/output:device_sync/layout:breadth_first/rows_per_block_iter:1/align_bytes:64,ok,100000,24015,24207,24767,26703,23999.3,50271,
