Value,Percentile,TotalCount,1/(1-Percentile)
31167.000,0.000000,1,1.00
43903.000,0.100000,2171,1.11
44095.000,0.200000,4091,1.25
44255.000,0.300000,6034,1.43
44415.000,0.400000,8505,1.67
44511.000,0.500000,10084,2.00
44575.000,0.550000,11122,2.22
44639.000,0.600000,12030,2.50
44735.000,0.650000,13110,2.86
44831.000,0.700000,14067,3.33
44959.000,0.750000,15116,4.00
45023.000,0.775000,15553,4.44
45119.000,0.800000,16118,5.00
45215.000,0.825000,16522,5.71
45439.000,0.850000,17046,6.67
45759.000,0.875000,17531,8.00
45983.000,0.887500,17780,8.89
46207.000,0.900000,18036,10.00
46463.000,0.912500,18261,11.43
46783.000,0.925000,18519,13.33
47135.000,0.937500,18766,16.00
47295.000,0.943750,18880,17.78
47455.000,0.950000,19016,20.00
47615.000,0.956250,19128,22.86
47807.000,0.962500,19254,26.67
47999.000,0.968750,19385,32.00
48095.000,0.971875,19439,35.56
48255.000,0.975000,19516,40.00
48383.000,0.978125,19568,45.71
48607.000,0.981250,19634,53.33
48895.000,0.984375,19690,64.00
49279.000,0.985938,19719,71.11
49919.000,0.987500,19750,80.00
51999.000,0.989062,19782,91.43
56607.000,0.990625,19813,106.67
217215.000,0.992188,19844,128.00
218367.000,0.992969,19862,142.22
219263.000,0.993750,19875,160.00
366591.000,0.994531,19893,182.86
397055.000,0.995313,19907,213.33
400639.000,0.996094,19922,256.00
401407.000,0.996484,19930,284.44
405759.000,0.996875,19938,320.00
547839.000,0.997266,19947,365.71
548863.000,0.997656,19955,426.67
549375.000,0.998047,19961,512.00
549887.000,0.998242,19972,568.89
549887.000,0.998437,19972,640.00
550399.000,0.998633,19975,731.43
551935.000,0.998828,19978,853.33
577535.000,0.999023,19981,1024.00
578559.000,0.999121,19984,1137.78
579071.000,0.999219,19986,1280.00
579583.000,0.999316,19987,1462.86
580095.000,0.999414,19990,1706.67
580607.000,0.999512,19991,2048.00
581119.000,0.999561,19994,2275.56
581119.000,0.999609,19994,2560.00
581119.000,0.999658,19994,2925.71
581631.000,0.999707,19995,3413.33
582655.000,0.999756,19996,4096.00
582655.000,0.999780,19996,4551.11
583679.000,0.999805,19997,5120.00
583679.000,0.999829,19997,5851.43
596479.000,0.999854,19999,6826.67
596479.000,0.999878,19999,8192.00
596479.000,0.999890,19999,9102.22
596479.000,0.999902,19999,10240.00
596479.000,0.999915,19999,11702.86
596479.000,0.999927,19999,13653.33
596479.000,0.999939,19999,16384.00
596479.000,0.999945,19999,18204.44
598015.000,0.999951,20000,20480.00
598015.000,1.000000,20000,inf
