Value,Percentile,TotalCount,1/(1-Percentile)
7539.000,0.000000,1,1.00
8631.000,0.100000,2011,1.11
8767.000,0.200000,4163,1.25
8839.000,0.300000,6043,1.43
8911.000,0.400000,8034,1.67
8983.000,0.500000,10124,2.00
9015.000,0.550000,11069,2.22
9055.000,0.600000,12074,2.50
9103.000,0.650000,13171,2.86
9151.000,0.700000,14152,3.33
9199.000,0.750000,15020,4.00
9239.000,0.775000,15583,4.44
9279.000,0.800000,16058,5.00
9319.000,0.825000,16521,5.71
9375.000,0.850000,17055,6.67
9431.000,0.875000,17500,8.00
9479.000,0.887500,17764,8.89
9535.000,0.900000,18016,10.00
9615.000,0.912500,18266,11.43
9719.000,0.925000,18508,13.33
9871.000,0.937500,18750,16.00
9967.000,0.943750,18877,17.78
10095.000,0.950000,19006,20.00
10239.000,0.956250,19125,22.86
10423.000,0.962500,19250,26.67
10791.000,0.968750,19375,32.00
11079.000,0.971875,19438,35.56
11375.000,0.975000,19500,40.00
11751.000,0.978125,19563,45.71
12079.000,0.981250,19625,53.33
12287.000,0.984375,19691,64.00
12367.000,0.985938,19719,71.11
12503.000,0.987500,19751,80.00
12623.000,0.989062,19785,91.43
12727.000,0.990625,19815,106.67
12871.000,0.992188,19848,128.00
12935.000,0.992969,19861,142.22
13079.000,0.993750,19875,160.00
13359.000,0.994531,19891,182.86
13927.000,0.995313,19907,213.33
14743.000,0.996094,19922,256.00
15343.000,0.996484,19930,284.44
16199.000,0.996875,19938,320.00
19423.000,0.997266,19946,365.71
21727.000,0.997656,19954,426.67
25823.000,0.998047,19961,512.00
195071.000,0.998242,19965,568.89
197119.000,0.998437,19969,640.00
199295.000,0.998633,19973,731.43
343807.000,0.998828,19977,853.33
345855.000,0.999023,19981,1024.00
379903.000,0.999121,19984,1137.78
381439.000,0.999219,19985,1280.00
383999.000,0.999316,19988,1462.86
527871.000,0.999414,19989,1706.67
528895.000,0.999512,19993,2048.00
528895.000,0.999561,19993,2275.56
528895.000,0.999609,19993,2560.00
529919.000,0.999658,19994,2925.71
530431.000,0.999707,19995,3413.33
559615.000,0.999756,19996,4096.00
559615.000,0.999780,19996,4551.11
565247.000,0.999805,19997,5120.00
565247.000,0.999829,19997,5851.43
570879.000,0.999854,19998,6826.67
570879.000,0.999878,19998,8192.00
570879.000,0.999890,19998,9102.22
576511.000,0.999902,19999,10240.00
576511.000,0.999915,19999,11702.86
576511.000,0.999927,19999,13653.33
576511.000,0.999939,19999,16384.00
576511.000,0.999945,19999,18204.44
581631.000,0.999951,20000,20480.00
581631.000,1.000000,20000,inf
