Value,Percentile,TotalCount,1/(1-Percentile)
18335.000,0.000000,1,1.00
29375.000,0.100000,2081,1.11
29551.000,0.200000,4060,1.25
29711.000,0.300000,6013,1.43
29855.000,0.400000,8156,1.67
29999.000,0.500000,10090,2.00
30063.000,0.550000,11074,2.22
30143.000,0.600000,12004,2.50
30239.000,0.650000,13005,2.86
30335.000,0.700000,14140,3.33
30463.000,0.750000,15120,4.00
30527.000,0.775000,15569,4.44
30591.000,0.800000,16035,5.00
30687.000,0.825000,16533,5.71
30815.000,0.850000,17056,6.67
30991.000,0.875000,17528,8.00
31119.000,0.887500,17755,8.89
31327.000,0.900000,18007,10.00
31535.000,0.912500,18256,11.43
31807.000,0.925000,18509,13.33
32079.000,0.937500,18752,16.00
32303.000,0.943750,18883,17.78
32511.000,0.950000,19001,20.00
32799.000,0.956250,19131,22.86
33023.000,0.962500,19260,26.67
33279.000,0.968750,19396,32.00
33375.000,0.971875,19441,35.56
33503.000,0.975000,19501,40.00
33663.000,0.978125,19574,45.71
33823.000,0.981250,19627,53.33
34047.000,0.984375,19696,64.00
34175.000,0.985938,19722,71.11
34303.000,0.987500,19754,80.00
34687.000,0.989062,19782,91.43
35551.000,0.990625,19813,106.67
41695.000,0.992188,19844,128.00
44255.000,0.992969,19860,142.22
47423.000,0.993750,19875,160.00
187519.000,0.994531,19891,182.86
189439.000,0.995313,19907,213.33
192895.000,0.996094,19922,256.00
342015.000,0.996484,19930,284.44
346111.000,0.996875,19938,320.00
374527.000,0.997266,19948,365.71
375295.000,0.997656,19954,426.67
389375.000,0.998047,19961,512.00
523775.000,0.998242,19965,568.89
524031.000,0.998437,19969,640.00
524799.000,0.998633,19974,731.43
525311.000,0.998828,19978,853.33
526335.000,0.999023,19981,1024.00
535551.000,0.999121,19983,1137.78
549887.000,0.999219,19985,1280.00
552447.000,0.999316,19990,1462.86
552447.000,0.999414,19990,1706.67
552959.000,0.999512,19992,2048.00
552959.000,0.999561,19992,2275.56
553471.000,0.999609,19993,2560.00
553983.000,0.999658,19994,2925.71
554495.000,0.999707,19995,3413.33
555007.000,0.999756,19996,4096.00
555007.000,0.999780,19996,4551.11
556031.000,0.999805,19997,5120.00
556031.000,0.999829,19997,5851.43
556543.000,0.999854,19998,6826.67
556543.000,0.999878,19998,8192.00
556543.000,0.999890,19998,9102.22
564735.000,0.999902,19999,10240.00
564735.000,0.999915,19999,11702.86
564735.000,0.999927,19999,13653.33
564735.000,0.999939,19999,16384.00
564735.000,0.999945,19999,18204.44
568319.000,0.999951,20000,20480.00
568319.000,1.000000,20000,inf
