Value,Percentile,TotalCount,1/(1-Percentile)
8639.000,0.000000,2,1.00
10039.000,0.100000,2019,1.11
10135.000,0.200000,4005,1.25
10215.000,0.300000,6085,1.43
10287.000,0.400000,8253,1.67
10351.000,0.500000,10105,2.00
10383.000,0.550000,11032,2.22
10423.000,0.600000,12118,2.50
10463.000,0.650000,13069,2.86
10511.000,0.700000,14109,3.33
10567.000,0.750000,15071,4.00
10599.000,0.775000,15518,4.44
10639.000,0.800000,16034,5.00
10687.000,0.825000,16529,5.71
10743.000,0.850000,17020,6.67
10807.000,0.875000,17517,8.00
10847.000,0.887500,17794,8.89
10879.000,0.900000,18002,10.00
10935.000,0.912500,18272,11.43
10999.000,0.925000,18508,13.33
11095.000,0.937500,18754,16.00
11167.000,0.943750,18879,17.78
11271.000,0.950000,19002,20.00
11391.000,0.956250,19125,22.86
11599.000,0.962500,19254,26.67
11919.000,0.968750,19375,32.00
12167.000,0.971875,19438,35.56
12519.000,0.975000,19500,40.00
12895.000,0.978125,19563,45.71
13311.000,0.981250,19625,53.33
13575.000,0.984375,19689,64.00
13695.000,0.985938,19719,71.11
13807.000,0.987500,19750,80.00
13919.000,0.989062,19783,91.43
14039.000,0.990625,19813,106.67
14175.000,0.992188,19845,128.00
14231.000,0.992969,19860,142.22
14391.000,0.993750,19875,160.00
16007.000,0.994531,19891,182.86
22495.000,0.995313,19907,213.33
32223.000,0.996094,19922,256.00
36735.000,0.996484,19930,284.44
167807.000,0.996875,19938,320.00
168831.000,0.997266,19948,365.71
169471.000,0.997656,19954,426.67
177023.000,0.998047,19961,512.00
177919.000,0.998242,19965,568.89
178815.000,0.998437,19969,640.00
184063.000,0.998633,19973,731.43
281599.000,0.998828,19977,853.33
317695.000,0.999023,19981,1024.00
318719.000,0.999121,19983,1137.78
322815.000,0.999219,19985,1280.00
552959.000,0.999316,19987,1462.86
558591.000,0.999414,19989,1706.67
563711.000,0.999512,19991,2048.00
565247.000,0.999561,19992,2275.56
565759.000,0.999609,19993,2560.00
567807.000,0.999658,19994,2925.71
570367.000,0.999707,19995,3413.33
570879.000,0.999756,19996,4096.00
570879.000,0.999780,19996,4551.11
576511.000,0.999805,19997,5120.00
576511.000,0.999829,19997,5851.43
577535.000,0.999854,19998,6826.67
577535.000,0.999878,19998,8192.00
577535.000,0.999890,19998,9102.22
583679.000,0.999902,19999,10240.00
583679.000,0.999915,19999,11702.86
583679.000,0.999927,19999,13653.33
583679.000,0.999939,19999,16384.00
583679.000,0.999945,19999,18204.44
681983.000,0.999951,20000,20480.00
681983.000,1.000000,20000,inf
