Value,Percentile,TotalCount,1/(1-Percentile)
7747.000,0.000000,1,1.00
8655.000,0.100000,2000,1.11
8879.000,0.200000,4070,1.25
9967.000,0.300000,6002,1.43
10239.000,0.400000,8068,1.67
10351.000,0.500000,10075,2.00
10391.000,0.550000,11023,2.22
10439.000,0.600000,12175,2.50
10479.000,0.650000,13111,2.86
10519.000,0.700000,14013,3.33
10575.000,0.750000,15094,4.00
10599.000,0.775000,15510,4.44
10639.000,0.800000,16104,5.00
10679.000,0.825000,16580,5.71
10719.000,0.850000,17022,6.67
10775.000,0.875000,17553,8.00
10807.000,0.887500,17809,8.89
10839.000,0.900000,18040,10.00
10879.000,0.912500,18293,11.43
10919.000,0.925000,18529,13.33
10967.000,0.937500,18753,16.00
10999.000,0.943750,18895,17.78
11039.000,0.950000,19010,20.00
11103.000,0.956250,19137,22.86
11183.000,0.962500,19259,26.67
11287.000,0.968750,19380,32.00
11367.000,0.971875,19438,35.56
11511.000,0.975000,19501,40.00
11711.000,0.978125,19563,45.71
11943.000,0.981250,19625,53.33
12351.000,0.984375,19688,64.00
12591.000,0.985938,19719,71.11
13063.000,0.987500,19750,80.00
13303.000,0.989062,19782,91.43
13551.000,0.990625,19814,106.67
13791.000,0.992188,19844,128.00
13887.000,0.992969,19860,142.22
14031.000,0.993750,19876,160.00
14159.000,0.994531,19891,182.86
14343.000,0.995313,19907,213.33
14519.000,0.996094,19923,256.00
14639.000,0.996484,19930,284.44
16095.000,0.996875,19938,320.00
24463.000,0.997266,19946,365.71
32047.000,0.997656,19954,426.67
44511.000,0.998047,19961,512.00
220927.000,0.998242,19965,568.89
222847.000,0.998437,19970,640.00
224511.000,0.998633,19973,731.43
309759.000,0.998828,19977,853.33
378879.000,0.999023,19982,1024.00
379135.000,0.999121,19983,1137.78
380671.000,0.999219,19985,1280.00
385279.000,0.999316,19987,1462.86
627199.000,0.999414,19989,1706.67
631807.000,0.999512,19991,2048.00
633343.000,0.999561,19992,2275.56
636415.000,0.999609,19993,2560.00
637951.000,0.999658,19994,2925.71
638463.000,0.999707,19995,3413.33
643071.000,0.999756,19996,4096.00
643071.000,0.999780,19996,4551.11
648191.000,0.999805,19997,5120.00
648191.000,0.999829,19997,5851.43
694271.000,0.999854,19998,6826.67
694271.000,0.999878,19998,8192.00
694271.000,0.999890,19998,9102.22
729599.000,0.999902,19999,10240.00
729599.000,0.999915,19999,11702.86
729599.000,0.999927,19999,13653.33
729599.000,0.999939,19999,16384.00
729599.000,0.999945,19999,18204.44
730111.000,0.999951,20000,20480.00
730111.000,1.000000,20000,inf
