Value,Percentile,TotalCount,1/(1-Percentile)
13967.000,0.000000,1,1.00
15127.000,0.100000,2064,1.11
15247.000,0.200000,4020,1.25
15351.000,0.300000,6140,1.43
15439.000,0.400000,8131,1.67
15519.000,0.500000,10000,2.00
15567.000,0.550000,11045,2.22
15615.000,0.600000,12166,2.50
15655.000,0.650000,13091,2.86
15703.000,0.700000,14077,3.33
15759.000,0.750000,15098,4.00
15791.000,0.775000,15575,4.44
15831.000,0.800000,16057,5.00
15871.000,0.825000,16512,5.71
15935.000,0.850000,17050,6.67
16015.000,0.875000,17528,8.00
16071.000,0.887500,17755,8.89
16151.000,0.900000,18011,10.00
16239.000,0.912500,18257,11.43
16367.000,0.925000,18514,13.33
16575.000,0.937500,18772,16.00
16687.000,0.943750,18883,17.78
16847.000,0.950000,19006,20.00
17071.000,0.956250,19129,22.86
17407.000,0.962500,19251,26.67
17983.000,0.968750,19377,32.00
18271.000,0.971875,19442,35.56
18543.000,0.975000,19503,40.00
18751.000,0.978125,19564,45.71
18959.000,0.981250,19626,53.33
19135.000,0.984375,19688,64.00
19247.000,0.985938,19720,71.11
19391.000,0.987500,19750,80.00
19551.000,0.989062,19783,91.43
19855.000,0.990625,19814,106.67
20559.000,0.992188,19844,128.00
21599.000,0.992969,19860,142.22
22831.000,0.993750,19875,160.00
26703.000,0.994531,19891,182.86
29311.000,0.995313,19907,213.33
41759.000,0.996094,19922,256.00
49215.000,0.996484,19930,284.44
178175.000,0.996875,19938,320.00
191871.000,0.997266,19946,365.71
193791.000,0.997656,19954,426.67
274175.000,0.998047,19961,512.00
469759.000,0.998242,19965,568.89
472831.000,0.998437,19970,640.00
473599.000,0.998633,19974,731.43
474367.000,0.998828,19978,853.33
772607.000,0.999023,19981,1024.00
777727.000,0.999121,19983,1137.78
779775.000,0.999219,19985,1280.00
782847.000,0.999316,19989,1462.86
782847.000,0.999414,19989,1706.67
784383.000,0.999512,19991,2048.00
785407.000,0.999561,19993,2275.56
785407.000,0.999609,19993,2560.00
785919.000,0.999658,19994,2925.71
786431.000,0.999707,19996,3413.33
786431.000,0.999756,19996,4096.00
786431.000,0.999780,19996,4551.11
788991.000,0.999805,19997,5120.00
788991.000,0.999829,19997,5851.43
801791.000,0.999854,19998,6826.67
801791.000,0.999878,19998,8192.00
801791.000,0.999890,19998,9102.22
835071.000,0.999902,19999,10240.00
835071.000,0.999915,19999,11702.86
835071.000,0.999927,19999,13653.33
835071.000,0.999939,19999,16384.00
835071.000,0.999945,19999,18204.44
851455.000,0.999951,20000,20480.00
851455.000,1.000000,20000,inf
