Value,Percentile,TotalCount,1/(1-Percentile)
3799.000,0.000000,1,1.00
4403.000,0.100000,2033,1.11
4503.000,0.200000,4148,1.25
4543.000,0.300000,6114,1.43
4571.000,0.400000,8069,1.67
4595.000,0.500000,10204,2.00
4607.000,0.550000,11349,2.22
4615.000,0.600000,12048,2.50
4627.000,0.650000,13012,2.86
4643.000,0.700000,14109,3.33
4659.000,0.750000,15004,4.00
4671.000,0.775000,15569,4.44
4683.000,0.800000,16092,5.00
4699.000,0.825000,16617,5.71
4715.000,0.850000,17052,6.67
4743.000,0.875000,17505,8.00
4767.000,0.887500,17782,8.89
4799.000,0.900000,18025,10.00
4835.000,0.912500,18254,11.43
4883.000,0.925000,18511,13.33
4927.000,0.937500,18756,16.00
4951.000,0.943750,18893,17.78
4975.000,0.950000,19002,20.00
5003.000,0.956250,19128,22.86
5039.000,0.962500,19257,26.67
5075.000,0.968750,19382,32.00
5107.000,0.971875,19440,35.56
5139.000,0.975000,19500,40.00
5187.000,0.978125,19565,45.71
5271.000,0.981250,19628,53.33
5471.000,0.984375,19688,64.00
5671.000,0.985938,19719,71.11
5879.000,0.987500,19751,80.00
6435.000,0.989062,19782,91.43
7043.000,0.990625,19816,106.67
7523.000,0.992188,19844,128.00
7771.000,0.992969,19860,142.22
7891.000,0.993750,19876,160.00
7975.000,0.994531,19891,182.86
8135.000,0.995313,19907,213.33
8215.000,0.996094,19923,256.00
8271.000,0.996484,19930,284.44
8311.000,0.996875,19940,320.00
8383.000,0.997266,19946,365.71
8559.000,0.997656,19954,426.67
9239.000,0.998047,19961,512.00
11167.000,0.998242,19965,568.89
13599.000,0.998437,19969,640.00
16343.000,0.998633,19973,731.43
19007.000,0.998828,19977,853.33
21807.000,0.999023,19981,1024.00
162815.000,0.999121,19983,1137.78
164991.000,0.999219,19985,1280.00
166527.000,0.999316,19987,1462.86
249471.000,0.999414,19989,1706.67
349183.000,0.999512,19991,2048.00
350463.000,0.999561,19993,2275.56
350463.000,0.999609,19993,2560.00
351743.000,0.999658,19994,2925.71
497151.000,0.999707,19995,3413.33
497407.000,0.999756,19996,4096.00
497407.000,0.999780,19996,4551.11
498943.000,0.999805,19998,5120.00
498943.000,0.999829,19998,5851.43
498943.000,0.999854,19998,6826.67
498943.000,0.999878,19998,8192.00
498943.000,0.999890,19998,9102.22
500223.000,0.999902,19999,10240.00
500223.000,0.999915,19999,11702.86
500223.000,0.999927,19999,13653.33
500223.000,0.999939,19999,16384.00
500223.000,0.999945,19999,18204.44
531455.000,0.999951,20000,20480.00
531455.000,1.000000,20000,inf
