Value,Percentile,TotalCount,1/(1-Percentile)
7975.000,0.000000,1,1.00
8375.000,0.100000,2055,1.11
8479.000,0.200000,4051,1.25
8511.000,0.300000,6501,1.43
8535.000,0.400000,8674,1.67
8559.000,0.500000,10420,2.00
8575.000,0.550000,11174,2.22
8607.000,0.600000,12168,2.50
8639.000,0.650000,13078,2.86
8679.000,0.700000,14073,3.33
8727.000,0.750000,15057,4.00
8751.000,0.775000,15533,4.44
8783.000,0.800000,16098,5.00
8815.000,0.825000,16527,5.71
8871.000,0.850000,17016,6.67
8943.000,0.875000,17520,8.00
8991.000,0.887500,17771,8.89
9039.000,0.900000,18034,10.00
9087.000,0.912500,18274,11.43
9159.000,0.925000,18512,13.33
9255.000,0.937500,18750,16.00
9319.000,0.943750,18877,17.78
9399.000,0.950000,19005,20.00
9487.000,0.956250,19139,22.86
9599.000,0.962500,19255,26.67
9743.000,0.968750,19381,32.00
9823.000,0.971875,19444,35.56
9903.000,0.975000,19507,40.00
9991.000,0.978125,19565,45.71
10103.000,0.981250,19625,53.33
10263.000,0.984375,19689,64.00
10351.000,0.985938,19719,71.11
10463.000,0.987500,19750,80.00
10607.000,0.989062,19782,91.43
10831.000,0.990625,19813,106.67
11167.000,0.992188,19847,128.00
11319.000,0.992969,19860,142.22
11511.000,0.993750,19876,160.00
11711.000,0.994531,19892,182.86
11887.000,0.995313,19907,213.33
12103.000,0.996094,19922,256.00
12183.000,0.996484,19930,284.44
12303.000,0.996875,19938,320.00
13511.000,0.997266,19946,365.71
15239.000,0.997656,19954,426.67
20463.000,0.998047,19961,512.00
23487.000,0.998242,19965,568.89
43487.000,0.998437,19969,640.00
195967.000,0.998633,19973,731.43
272895.000,0.998828,19977,853.33
317439.000,0.999023,19981,1024.00
356863.000,0.999121,19983,1137.78
371455.000,0.999219,19985,1280.00
374527.000,0.999316,19987,1462.86
409599.000,0.999414,19989,1706.67
486911.000,0.999512,19991,2048.00
490495.000,0.999561,19992,2275.56
552447.000,0.999609,19993,2560.00
553983.000,0.999658,19994,2925.71
555007.000,0.999707,19995,3413.33
557567.000,0.999756,19996,4096.00
557567.000,0.999780,19996,4551.11
560639.000,0.999805,19997,5120.00
560639.000,0.999829,19997,5851.43
577023.000,0.999854,19998,6826.67
577023.000,0.999878,19998,8192.00
577023.000,0.999890,19998,9102.22
582655.000,0.999902,19999,10240.00
582655.000,0.999915,19999,11702.86
582655.000,0.999927,19999,13653.33
582655.000,0.999939,19999,16384.00
582655.000,0.999945,19999,18204.44
1015295.000,0.999951,20000,20480.00
1015295.000,1.000000,20000,inf
