Value,Percentile,TotalCount,1/(1-Percentile)
2549.000,0.000000,1,1.00
2711.000,0.100000,2044,1.11
2767.000,0.200000,4022,1.25
3111.000,0.300000,6004,1.43
3253.000,0.400000,8022,1.67
3321.000,0.500000,10082,2.00
3337.000,0.550000,11025,2.22
3353.000,0.600000,12155,2.50
3365.000,0.650000,13064,2.86
3379.000,0.700000,14153,3.33
3391.000,0.750000,15068,4.00
3399.000,0.775000,15594,4.44
3407.000,0.800000,16084,5.00
3415.000,0.825000,16512,5.71
3427.000,0.850000,17052,6.67
3441.000,0.875000,17527,8.00
3453.000,0.887500,17773,8.89
3471.000,0.900000,18015,10.00
3505.000,0.912500,18252,11.43
3557.000,0.925000,18501,13.33
3611.000,0.937500,18755,16.00
3641.000,0.943750,18882,17.78
3671.000,0.950000,19001,20.00
3705.000,0.956250,19129,22.86
3755.000,0.962500,19252,26.67
3803.000,0.968750,19377,32.00
3827.000,0.971875,19440,35.56
3849.000,0.975000,19503,40.00
3873.000,0.978125,19566,45.71
3901.000,0.981250,19628,53.33
3931.000,0.984375,19688,64.00
3949.000,0.985938,19719,71.11
3987.000,0.987500,19752,80.00
4223.000,0.989062,19782,91.43
4935.000,0.990625,19813,106.67
5571.000,0.992188,19844,128.00
5867.000,0.992969,19860,142.22
6055.000,0.993750,19875,160.00
6275.000,0.994531,19891,182.86
6503.000,0.995313,19907,213.33
6651.000,0.996094,19922,256.00
6771.000,0.996484,19930,284.44
6887.000,0.996875,19938,320.00
6975.000,0.997266,19946,365.71
7075.000,0.997656,19954,426.67
7255.000,0.998047,19961,512.00
7463.000,0.998242,19965,568.89
7571.000,0.998437,19969,640.00
8615.000,0.998633,19973,731.43
9751.000,0.998828,19977,853.33
15423.000,0.999023,19981,1024.00
16447.000,0.999121,19983,1137.78
158975.000,0.999219,19986,1280.00
160511.000,0.999316,19987,1462.86
166527.000,0.999414,19989,1706.67
168447.000,0.999512,19991,2048.00
169215.000,0.999561,19992,2275.56
250879.000,0.999609,19994,2560.00
250879.000,0.999658,19994,2925.71
251903.000,0.999707,19995,3413.33
252799.000,0.999756,19996,4096.00
252799.000,0.999780,19996,4551.11
537087.000,0.999805,19998,5120.00
537087.000,0.999829,19998,5851.43
537087.000,0.999854,19998,6826.67
537087.000,0.999878,19998,8192.00
537087.000,0.999890,19998,9102.22
538623.000,0.999902,19999,10240.00
538623.000,0.999915,19999,11702.86
538623.000,0.999927,19999,13653.33
538623.000,0.999939,19999,16384.00
538623.000,0.999945,19999,18204.44
539135.000,0.999951,20000,20480.00
539135.000,1.000000,20000,inf
