Value,Percentile,TotalCount,1/(1-Percentile)
5951.000,0.000000,1,1.00
6495.000,0.100000,2005,1.11
6603.000,0.200000,4093,1.25
6659.000,0.300000,6147,1.43
6699.000,0.400000,8008,1.67
6743.000,0.500000,10188,2.00
6763.000,0.550000,11206,2.22
6779.000,0.600000,12042,2.50
6803.000,0.650000,13165,2.86
6823.000,0.700000,14100,3.33
6847.000,0.750000,15033,4.00
6863.000,0.775000,15530,4.44
6883.000,0.800000,16107,5.00
6903.000,0.825000,16591,5.71
6927.000,0.850000,17049,6.67
6955.000,0.875000,17501,8.00
6979.000,0.887500,17787,8.89
7003.000,0.900000,18020,10.00
7035.000,0.912500,18256,11.43
7083.000,0.925000,18506,13.33
7151.000,0.937500,18761,16.00
7187.000,0.943750,18877,17.78
7223.000,0.950000,19000,20.00
7263.000,0.956250,19134,22.86
7303.000,0.962500,19251,26.67
7351.000,0.968750,19376,32.00
7379.000,0.971875,19444,35.56
7423.000,0.975000,19501,40.00
7503.000,0.978125,19564,45.71
7819.000,0.981250,19625,53.33
8455.000,0.984375,19689,64.00
8719.000,0.985938,19721,71.11
8967.000,0.987500,19750,80.00
9319.000,0.989062,19783,91.43
9615.000,0.990625,19813,106.67
9975.000,0.992188,19845,128.00
10095.000,0.992969,19860,142.22
10207.000,0.993750,19875,160.00
10367.000,0.994531,19893,182.86
10511.000,0.995313,19907,213.33
11031.000,0.996094,19922,256.00
13975.000,0.996484,19930,284.44
18671.000,0.996875,19938,320.00
21503.000,0.997266,19946,365.71
33535.000,0.997656,19954,426.67
163199.000,0.998047,19961,512.00
164095.000,0.998242,19966,568.89
164991.000,0.998437,19969,640.00
171775.000,0.998633,19973,731.43
172671.000,0.998828,19977,853.33
178047.000,0.999023,19982,1024.00
249983.000,0.999121,19983,1137.78
252799.000,0.999219,19985,1280.00
253695.000,0.999316,19987,1462.86
254079.000,0.999414,19989,1706.67
254847.000,0.999512,19991,2048.00
548351.000,0.999561,19992,2275.56
550911.000,0.999609,19993,2560.00
551423.000,0.999658,19994,2925.71
551935.000,0.999707,19995,3413.33
552959.000,0.999756,19997,4096.00
552959.000,0.999780,19997,4551.11
552959.000,0.999805,19997,5120.00
552959.000,0.999829,19997,5851.43
561663.000,0.999854,19998,6826.67
561663.000,0.999878,19998,8192.00
561663.000,0.999890,19998,9102.22
566271.000,0.999902,19999,10240.00
566271.000,0.999915,19999,11702.86
566271.000,0.999927,19999,13653.33
566271.000,0.999939,19999,16384.00
566271.000,0.999945,19999,18204.44
669183.000,0.999951,20000,20480.00
669183.000,1.000000,20000,inf
