Value,Percentile,TotalCount,1/(1-Percentile)
3537.000,0.000000,2,1.00
4187.000,0.100000,2061,1.11
4255.000,0.200000,4031,1.25
4299.000,0.300000,6047,1.43
4335.000,0.400000,8070,1.67
4367.000,0.500000,10017,2.00
4383.000,0.550000,11000,2.22
4403.000,0.600000,12195,2.50
4419.000,0.650000,13077,2.86
4439.000,0.700000,14082,3.33
4459.000,0.750000,15026,4.00
4471.000,0.775000,15515,4.44
4487.000,0.800000,16133,5.00
4499.000,0.825000,16534,5.71
4519.000,0.850000,17117,6.67
4535.000,0.875000,17501,8.00
4551.000,0.887500,17813,8.89
4563.000,0.900000,18030,10.00
4579.000,0.912500,18285,11.43
4599.000,0.925000,18515,13.33
4635.000,0.937500,18757,16.00
4655.000,0.943750,18880,17.78
4687.000,0.950000,19002,20.00
4747.000,0.956250,19126,22.86
4803.000,0.962500,19258,26.67
4863.000,0.968750,19375,32.00
4895.000,0.971875,19446,35.56
4927.000,0.975000,19502,40.00
4967.000,0.978125,19568,45.71
5003.000,0.981250,19628,53.33
5091.000,0.984375,19689,64.00
5227.000,0.985938,19720,71.11
5903.000,0.987500,19750,80.00
6599.000,0.989062,19782,91.43
7007.000,0.990625,19813,106.67
7359.000,0.992188,19845,128.00
7495.000,0.992969,19861,142.22
7559.000,0.993750,19877,160.00
7643.000,0.994531,19891,182.86
7731.000,0.995313,19907,213.33
7835.000,0.996094,19923,256.00
7879.000,0.996484,19930,284.44
7971.000,0.996875,19938,320.00
8051.000,0.997266,19946,365.71
8111.000,0.997656,19954,426.67
8311.000,0.998047,19963,512.00
8335.000,0.998242,19965,568.89
8647.000,0.998437,19969,640.00
178047.000,0.998633,19973,731.43
179199.000,0.998828,19979,853.33
179711.000,0.999023,19981,1024.00
180223.000,0.999121,19983,1137.78
186751.000,0.999219,19985,1280.00
187519.000,0.999316,19987,1462.86
188031.000,0.999414,19989,1706.67
265471.000,0.999512,19991,2048.00
265727.000,0.999561,19992,2275.56
266495.000,0.999609,19993,2560.00
267519.000,0.999658,19995,2925.71
267519.000,0.999707,19995,3413.33
551935.000,0.999756,19996,4096.00
551935.000,0.999780,19996,4551.11
553983.000,0.999805,19997,5120.00
553983.000,0.999829,19997,5851.43
554495.000,0.999854,19998,6826.67
554495.000,0.999878,19998,8192.00
554495.000,0.999890,19998,9102.22
556031.000,0.999902,19999,10240.00
556031.000,0.999915,19999,11702.86
556031.000,0.999927,19999,13653.33
556031.000,0.999939,19999,16384.00
556031.000,0.999945,19999,18204.44
556543.000,0.999951,20000,20480.00
556543.000,1.000000,20000,inf
