Value,Percentile,TotalCount,1/(1-Percentile)
5691.000,0.000000,1,1.00
5931.000,0.100000,2044,1.11
6211.000,0.200000,4028,1.25
6275.000,0.300000,6040,1.43
6335.000,0.400000,8043,1.67
6427.000,0.500000,10039,2.00
6503.000,0.550000,11026,2.22
6583.000,0.600000,12027,2.50
6711.000,0.650000,13006,2.86
6839.000,0.700000,14013,3.33
6927.000,0.750000,15017,4.00
6967.000,0.775000,15515,4.44
7007.000,0.800000,16006,5.00
7063.000,0.825000,16541,5.71
7127.000,0.850000,17002,6.67
7231.000,0.875000,17502,8.00
7287.000,0.887500,17763,8.89
7339.000,0.900000,18008,10.00
7403.000,0.912500,18250,11.43
7483.000,0.925000,18511,13.33
7583.000,0.937500,18752,16.00
7659.000,0.943750,18879,17.78
7731.000,0.950000,19003,20.00
7827.000,0.956250,19128,22.86
7963.000,0.962500,19252,26.67
8131.000,0.968750,19378,32.00
8239.000,0.971875,19438,35.56
8407.000,0.975000,19500,40.00
8567.000,0.978125,19565,45.71
8735.000,0.981250,19625,53.33
8999.000,0.984375,19689,64.00
9151.000,0.985938,19719,71.11
9303.000,0.987500,19750,80.00
9519.000,0.989062,19783,91.43
9727.000,0.990625,19813,106.67
10031.000,0.992188,19844,128.00
10215.000,0.992969,19860,142.22
10463.000,0.993750,19875,160.00
10743.000,0.994531,19891,182.86
11207.000,0.995313,19907,213.33
11855.000,0.996094,19922,256.00
12167.000,0.996484,19930,284.44
18111.000,0.996875,19938,320.00
20847.000,0.997266,19946,365.71
31071.000,0.997656,19954,426.67
159999.000,0.998047,19961,512.00
166015.000,0.998242,19965,568.89
169343.000,0.998437,19969,640.00
170495.000,0.998633,19973,731.43
173951.000,0.998828,19977,853.33
180095.000,0.999023,19981,1024.00
184319.000,0.999121,19983,1137.78
249343.000,0.999219,19985,1280.00
262015.000,0.999316,19987,1462.86
265727.000,0.999414,19989,1706.67
266239.000,0.999512,19991,2048.00
267263.000,0.999561,19992,2275.56
539135.000,0.999609,19993,2560.00
540671.000,0.999658,19994,2925.71
567807.000,0.999707,19995,3413.33
570367.000,0.999756,19997,4096.00
570367.000,0.999780,19997,4551.11
570367.000,0.999805,19997,5120.00
570367.000,0.999829,19997,5851.43
570879.000,0.999854,19998,6826.67
570879.000,0.999878,19998,8192.00
570879.000,0.999890,19998,9102.22
572415.000,0.999902,20000,10240.00
572415.000,1.000000,20000,inf
