Value,Percentile,TotalCount,1/(1-Percentile)
5995.000,0.000000,1,1.00
6159.000,0.100000,2076,1.11
6187.000,0.200000,4138,1.25
6211.000,0.300000,6356,1.43
6227.000,0.400000,8040,1.67
6251.000,0.500000,10215,2.00
6263.000,0.550000,11007,2.22
6295.000,0.600000,12078,2.50
6355.000,0.650000,13014,2.86
6451.000,0.700000,14001,3.33
6607.000,0.750000,15014,4.00
6691.000,0.775000,15505,4.44
6747.000,0.800000,16014,5.00
6787.000,0.825000,16530,5.71
6819.000,0.850000,17001,6.67
6859.000,0.875000,17500,8.00
6887.000,0.887500,17762,8.89
6927.000,0.900000,18001,10.00
6991.000,0.912500,18266,11.43
7067.000,0.925000,18503,13.33
7159.000,0.937500,18754,16.00
7211.000,0.943750,18875,17.78
7279.000,0.950000,19003,20.00
7339.000,0.956250,19128,22.86
7423.000,0.962500,19250,26.67
7551.000,0.968750,19376,32.00
7635.000,0.971875,19438,35.56
7747.000,0.975000,19502,40.00
7871.000,0.978125,19563,45.71
8071.000,0.981250,19625,53.33
8375.000,0.984375,19690,64.00
8511.000,0.985938,19719,71.11
8815.000,0.987500,19750,80.00
9095.000,0.989062,19782,91.43
9599.000,0.990625,19813,106.67
10367.000,0.992188,19844,128.00
10871.000,0.992969,19860,142.22
11815.000,0.993750,19875,160.00
15687.000,0.994531,19891,182.86
17215.000,0.995313,19907,213.33
18239.000,0.996094,19923,256.00
18639.000,0.996484,19930,284.44
19167.000,0.996875,19938,320.00
19663.000,0.997266,19946,365.71
26431.000,0.997656,19954,426.67
28431.000,0.998047,19961,512.00
29567.000,0.998242,19965,568.89
30239.000,0.998437,19969,640.00
30511.000,0.998633,19973,731.43
31167.000,0.998828,19977,853.33
32031.000,0.999023,19981,1024.00
221567.000,0.999121,19983,1137.78
223871.000,0.999219,19985,1280.00
225151.000,0.999316,19987,1462.86
226815.000,0.999414,19989,1706.67
239487.000,0.999512,19991,2048.00
300799.000,0.999561,19992,2275.56
482559.000,0.999609,19993,2560.00
482815.000,0.999658,19994,2925.71
487423.000,0.999707,19995,3413.33
489727.000,0.999756,19996,4096.00
489727.000,0.999780,19996,4551.11
491775.000,0.999805,19997,5120.00
491775.000,0.999829,19997,5851.43
496895.000,0.999854,19998,6826.67
496895.000,0.999878,19998,8192.00
496895.000,0.999890,19998,9102.22
506879.000,0.999902,19999,10240.00
506879.000,0.999915,19999,11702.86
506879.000,0.999927,19999,13653.33
506879.000,0.999939,19999,16384.00
506879.000,0.999945,19999,18204.44
512511.000,0.999951,20000,20480.00
512511.000,1.000000,20000,inf
