Value,Percentile,TotalCount,1/(1-Percentile)
13.000,0.000000,2,1.00
16.000,0.100000,935,1.11
17.000,0.200000,1664,1.25
17.000,0.300000,1664,1.43
18.000,0.400000,2779,1.67
18.000,0.500000,2779,2.00
18.000,0.550000,2779,2.22
19.000,0.600000,3853,2.50
19.000,0.650000,3853,2.86
19.000,0.700000,3853,3.33
19.000,0.750000,3853,4.00
20.000,0.775000,4509,4.44
20.000,0.800000,4509,5.00
20.000,0.825000,4509,5.71
20.000,0.850000,4509,6.67
20.000,0.875000,4509,8.00
20.000,0.887500,4509,8.89
20.000,0.900000,4509,10.00
21.000,0.912500,4760,11.43
21.000,0.925000,4760,13.33
21.000,0.937500,4760,16.00
21.000,0.943750,4760,17.78
21.000,0.950000,4760,20.00
22.000,0.956250,4874,22.86
22.000,0.962500,4874,26.67
22.000,0.968750,4874,32.00
22.000,0.971875,4874,35.56
23.000,0.975000,4926,40.00
23.000,0.978125,4926,45.71
23.000,0.981250,4926,53.33
23.000,0.984375,4926,64.00
24.000,0.985938,4948,71.11
24.000,0.987500,4948,80.00
24.000,0.989062,4948,91.43
25.000,0.990625,4959,106.67
26.000,0.992188,4962,128.00
27.000,0.992969,4968,142.22
28.000,0.993750,4972,160.00
29.000,0.994531,4974,182.86
30.000,0.995313,4977,213.33
32.000,0.996094,4983,256.00
32.000,0.996484,4983,284.44
34.000,0.996875,4985,320.00
36.000,0.997266,4987,365.71
92.000,0.997656,4989,426.67
95.000,0.998047,4991,512.00
96.000,0.998242,4992,568.89
97.000,0.998437,4993,640.00
101.000,0.998633,4994,731.43
106.000,0.998828,4995,853.33
111.000,0.999023,4996,1024.00
111.000,0.999121,4996,1137.78
115.000,0.999219,4997,1280.00
115.000,0.999316,4997,1462.86
127.000,0.999414,4998,1706.67
127.000,0.999512,4998,2048.00
127.000,0.999561,4998,2275.56
222.000,0.999609,4999,2560.00
222.000,0.999658,4999,2925.71
222.000,0.999707,4999,3413.33
222.000,0.999756,4999,4096.00
222.000,0.999780,4999,4551.11
582.000,0.999805,5000,5120.00
582.000,1.000000,5000,inf
