Value,Percentile,TotalCount,1/(1-Percentile)
3657.000,0.000000,1,1.00
3989.000,0.100000,500,1.11
4247.000,0.200000,1008,1.25
4295.000,0.300000,1539,1.43
4331.000,0.400000,2002,1.67
4363.000,0.500000,2510,2.00
4379.000,0.550000,2774,2.22
4395.000,0.600000,3000,2.50
4415.000,0.650000,3261,2.86
4435.000,0.700000,3510,3.33
4459.000,0.750000,3778,4.00
4471.000,0.775000,3901,4.44
4483.000,0.800000,4033,5.00
4495.000,0.825000,4144,5.71
4511.000,0.850000,4253,6.67
4539.000,0.875000,4378,8.00
4559.000,0.887500,4443,8.89
4579.000,0.900000,4508,10.00
4615.000,0.912500,4567,11.43
4659.000,0.925000,4625,13.33
4727.000,0.937500,4688,16.00
4759.000,0.943750,4720,17.78
4791.000,0.950000,4751,20.00
4827.000,0.956250,4785,22.86
4867.000,0.962500,4813,26.67
4923.000,0.968750,4845,32.00
4959.000,0.971875,4861,35.56
4991.000,0.975000,4876,40.00
5031.000,0.978125,4892,45.71
5239.000,0.981250,4907,53.33
5939.000,0.984375,4922,64.00
6283.000,0.985938,4930,71.11
7171.000,0.987500,4938,80.00
8023.000,0.989062,4947,91.43
8431.000,0.990625,4954,106.67
8759.000,0.992188,4961,128.00
15199.000,0.992969,4965,142.22
15831.000,0.993750,4969,160.00
16263.000,0.994531,4973,182.86
16703.000,0.995313,4977,213.33
17055.000,0.996094,4983,256.00
17055.000,0.996484,4983,284.44
17279.000,0.996875,4986,320.00
17455.000,0.997266,4987,365.71
18463.000,0.997656,4989,426.67
23007.000,0.998047,4991,512.00
28911.000,0.998242,4992,568.89
28975.000,0.998437,4993,640.00
29007.000,0.998633,4994,731.43
29487.000,0.998828,4995,853.33
319487.000,0.999023,4996,1024.00
319487.000,0.999121,4996,1137.78
349951.000,0.999219,4997,1280.00
349951.000,0.999316,4997,1462.86
403199.000,0.999414,4998,1706.67
403199.000,0.999512,4998,2048.00
403199.000,0.999561,4998,2275.56
414975.000,0.999609,4999,2560.00
414975.000,0.999658,4999,2925.71
414975.000,0.999707,4999,3413.33
414975.000,0.999756,4999,4096.00
414975.000,0.999780,4999,4551.11
438783.000,0.999805,5000,5120.00
438783.000,1.000000,5000,inf
