Value,Percentile,TotalCount,1/(1-Percentile)
3607.000,0.000000,1,1.00
3935.000,0.100000,502,1.11
4191.000,0.200000,1000,1.25
4239.000,0.300000,1519,1.43
4279.000,0.400000,2032,1.67
4311.000,0.500000,2540,2.00
4327.000,0.550000,2808,2.22
4343.000,0.600000,3020,2.50
4363.000,0.650000,3289,2.86
4383.000,0.700000,3531,3.33
4403.000,0.750000,3760,4.00
4415.000,0.775000,3882,4.44
4427.000,0.800000,4011,5.00
4439.000,0.825000,4133,5.71
4455.000,0.850000,4252,6.67
4483.000,0.875000,4378,8.00
4503.000,0.887500,4439,8.89
4523.000,0.900000,4502,10.00
4559.000,0.912500,4565,11.43
4607.000,0.925000,4627,13.33
4675.000,0.937500,4692,16.00
4707.000,0.943750,4722,17.78
4731.000,0.950000,4750,20.00
4771.000,0.956250,4784,22.86
4815.000,0.962500,4814,26.67
4867.000,0.968750,4845,32.00
4907.000,0.971875,4861,35.56
4935.000,0.975000,4876,40.00
4979.000,0.978125,4892,45.71
5183.000,0.981250,4907,53.33
5799.000,0.984375,4922,64.00
6227.000,0.985938,4930,71.11
7119.000,0.987500,4938,80.00
7967.000,0.989062,4946,91.43
8383.000,0.990625,4954,106.67
8695.000,0.992188,4961,128.00
15111.000,0.992969,4965,142.22
15743.000,0.993750,4969,160.00
16207.000,0.994531,4973,182.86
16639.000,0.995313,4977,213.33
16991.000,0.996094,4981,256.00
17007.000,0.996484,4983,284.44
17215.000,0.996875,4986,320.00
17391.000,0.997266,4987,365.71
18399.000,0.997656,4989,426.67
22959.000,0.998047,4991,512.00
28863.000,0.998242,4992,568.89
28927.000,0.998437,4993,640.00
28959.000,0.998633,4994,731.43
29423.000,0.998828,4995,853.33
319487.000,0.999023,4996,1024.00
319487.000,0.999121,4996,1137.78
349951.000,0.999219,4997,1280.00
349951.000,0.999316,4997,1462.86
403199.000,0.999414,4998,1706.67
403199.000,0.999512,4998,2048.00
403199.000,0.999561,4998,2275.56
414719.000,0.999609,4999,2560.00
414719.000,0.999658,4999,2925.71
414719.000,0.999707,4999,3413.33
414719.000,0.999756,4999,4096.00
414719.000,0.999780,4999,4551.11
438527.000,0.999805,5000,5120.00
438527.000,1.000000,5000,inf
