Value,Percentile,TotalCount,1/(1-Percentile)
13.000,0.000000,1,1.00
16.000,0.100000,1024,1.11
16.000,0.200000,1024,1.25
17.000,0.300000,1631,1.43
18.000,0.400000,2704,1.67
18.000,0.500000,2704,2.00
19.000,0.550000,3934,2.22
19.000,0.600000,3934,2.50
19.000,0.650000,3934,2.86
19.000,0.700000,3934,3.33
19.000,0.750000,3934,4.00
19.000,0.775000,3934,4.44
20.000,0.800000,4593,5.00
20.000,0.825000,4593,5.71
20.000,0.850000,4593,6.67
20.000,0.875000,4593,8.00
20.000,0.887500,4593,8.89
20.000,0.900000,4593,10.00
20.000,0.912500,4593,11.43
21.000,0.925000,4821,13.33
21.000,0.937500,4821,16.00
21.000,0.943750,4821,17.78
21.000,0.950000,4821,20.00
21.000,0.956250,4821,22.86
21.000,0.962500,4821,26.67
22.000,0.968750,4908,32.00
22.000,0.971875,4908,35.56
22.000,0.975000,4908,40.00
22.000,0.978125,4908,45.71
22.000,0.981250,4908,53.33
23.000,0.984375,4942,64.00
23.000,0.985938,4942,71.11
23.000,0.987500,4942,80.00
24.000,0.989062,4955,91.43
24.000,0.990625,4955,106.67
25.000,0.992188,4968,128.00
25.000,0.992969,4968,142.22
26.000,0.993750,4973,160.00
26.000,0.994531,4973,182.86
28.000,0.995313,4981,213.33
28.000,0.996094,4981,256.00
29.000,0.996484,4984,284.44
30.000,0.996875,4986,320.00
32.000,0.997266,4987,365.71
34.000,0.997656,4989,426.67
38.000,0.998047,4991,512.00
65.000,0.998242,4993,568.89
65.000,0.998437,4993,640.00
83.000,0.998633,4994,731.43
92.000,0.998828,4995,853.33
96.000,0.999023,4996,1024.00
96.000,0.999121,4996,1137.78
106.000,0.999219,4997,1280.00
106.000,0.999316,4997,1462.86
112.000,0.999414,4998,1706.67
112.000,0.999512,4998,2048.00
112.000,0.999561,4998,2275.56
646.000,0.999609,4999,2560.00
646.000,0.999658,4999,2925.71
646.000,0.999707,4999,3413.33
646.000,0.999756,4999,4096.00
646.000,0.999780,4999,4551.11
2261.000,0.999805,5000,5120.00
2261.000,1.000000,5000,inf
