Value,Percentile,TotalCount,1/(1-Percentile)
6055.000,0.000000,1,1.00
6183.000,0.100000,507,1.11
6215.000,0.200000,1014,1.25
6255.000,0.300000,1514,1.43
6395.000,0.400000,2000,1.67
6715.000,0.500000,2507,2.00
6787.000,0.550000,2769,2.22
6815.000,0.600000,3024,2.50
6839.000,0.650000,3273,2.86
6859.000,0.700000,3520,3.33
6887.000,0.750000,3752,4.00
6911.000,0.775000,3892,4.44
6935.000,0.800000,4000,5.00
6975.000,0.825000,4136,5.71
7023.000,0.850000,4251,6.67
7099.000,0.875000,4379,8.00
7135.000,0.887500,4445,8.89
7179.000,0.900000,4502,10.00
7239.000,0.912500,4565,11.43
7307.000,0.925000,4630,13.33
7363.000,0.937500,4688,16.00
7399.000,0.943750,4720,17.78
7431.000,0.950000,4751,20.00
7515.000,0.956250,4782,22.86
7603.000,0.962500,4813,26.67
7755.000,0.968750,4844,32.00
7863.000,0.971875,4860,35.56
7983.000,0.975000,4875,40.00
8131.000,0.978125,4891,45.71
8279.000,0.981250,4907,53.33
8471.000,0.984375,4924,64.00
8575.000,0.985938,4930,71.11
8815.000,0.987500,4938,80.00
9191.000,0.989062,4946,91.43
9471.000,0.990625,4954,106.67
10015.000,0.992188,4961,128.00
10479.000,0.992969,4965,142.22
11263.000,0.993750,4969,160.00
15975.000,0.994531,4973,182.86
16879.000,0.995313,4977,213.33
18863.000,0.996094,4981,256.00
19311.000,0.996484,4983,284.44
19775.000,0.996875,4985,320.00
26223.000,0.997266,4987,365.71
28511.000,0.997656,4989,426.67
29727.000,0.998047,4991,512.00
31135.000,0.998242,4992,568.89
33951.000,0.998437,4993,640.00
41215.000,0.998633,4994,731.43
245631.000,0.998828,4995,853.33
248063.000,0.999023,4996,1024.00
248063.000,0.999121,4996,1137.78
331007.000,0.999219,4997,1280.00
331007.000,0.999316,4997,1462.86
342783.000,0.999414,4998,1706.67
342783.000,0.999512,4998,2048.00
342783.000,0.999561,4998,2275.56
434431.000,0.999609,4999,2560.00
434431.000,0.999658,4999,2925.71
434431.000,0.999707,4999,3413.33
434431.000,0.999756,4999,4096.00
434431.000,0.999780,4999,4551.11
453119.000,0.999805,5000,5120.00
453119.000,1.000000,5000,inf
