Value,Percentile,TotalCount,1/(1-Percentile)
3875.000,0.000000,1,1.00
6131.000,0.100000,551,1.11
6163.000,0.200000,1060,1.25
6199.000,0.300000,1508,1.43
6343.000,0.400000,2006,1.67
6659.000,0.500000,2504,2.00
6731.000,0.550000,2756,2.22
6759.000,0.600000,3011,2.50
6783.000,0.650000,3261,2.86
6803.000,0.700000,3503,3.33
6835.000,0.750000,3775,4.00
6855.000,0.775000,3885,4.44
6883.000,0.800000,4015,5.00
6919.000,0.825000,4135,5.71
6967.000,0.850000,4250,6.67
7043.000,0.875000,4378,8.00
7079.000,0.887500,4442,8.89
7127.000,0.900000,4505,10.00
7183.000,0.912500,4566,11.43
7247.000,0.925000,4626,13.33
7307.000,0.937500,4688,16.00
7343.000,0.943750,4720,17.78
7379.000,0.950000,4751,20.00
7459.000,0.956250,4782,22.86
7539.000,0.962500,4813,26.67
7699.000,0.968750,4845,32.00
7807.000,0.971875,4861,35.56
7931.000,0.975000,4875,40.00
8079.000,0.978125,4891,45.71
8223.000,0.981250,4907,53.33
8415.000,0.984375,4923,64.00
8519.000,0.985938,4930,71.11
8767.000,0.987500,4938,80.00
9135.000,0.989062,4946,91.43
9415.000,0.990625,4954,106.67
9967.000,0.992188,4961,128.00
10423.000,0.992969,4965,142.22
11207.000,0.993750,4969,160.00
15903.000,0.994531,4973,182.86
16831.000,0.995313,4977,213.33
18815.000,0.996094,4981,256.00
19263.000,0.996484,4983,284.44
19695.000,0.996875,4985,320.00
26175.000,0.997266,4987,365.71
28447.000,0.997656,4989,426.67
29679.000,0.998047,4991,512.00
31071.000,0.998242,4992,568.89
33887.000,0.998437,4993,640.00
41151.000,0.998633,4994,731.43
245503.000,0.998828,4995,853.33
248063.000,0.999023,4996,1024.00
248063.000,0.999121,4996,1137.78
330751.000,0.999219,4997,1280.00
330751.000,0.999316,4997,1462.86
342783.000,0.999414,4998,1706.67
342783.000,0.999512,4998,2048.00
342783.000,0.999561,4998,2275.56
434431.000,0.999609,4999,2560.00
434431.000,0.999658,4999,2925.71
434431.000,0.999707,4999,3413.33
434431.000,0.999756,4999,4096.00
434431.000,0.999780,4999,4551.11
452863.000,0.999805,5000,5120.00
452863.000,1.000000,5000,inf
