Value,Percentile,TotalCount,1/(1-Percentile)
3525.000,0.000000,1,1.00
4175.000,0.100000,2029,1.11
4259.000,0.200000,4006,1.25
4307.000,0.300000,6195,1.43
4339.000,0.400000,8026,1.67
4375.000,0.500000,10211,2.00
4391.000,0.550000,11147,2.22
4407.000,0.600000,12021,2.50
4427.000,0.650000,13125,2.86
4447.000,0.700000,14007,3.33
4475.000,0.750000,15066,4.00
4491.000,0.775000,15552,4.44
4507.000,0.800000,16023,5.00
4527.000,0.825000,16510,5.71
4555.000,0.850000,17051,6.67
4599.000,0.875000,17540,8.00
4627.000,0.887500,17766,8.89
4663.000,0.900000,18017,10.00
4703.000,0.912500,18269,11.43
4747.000,0.925000,18500,13.33
4803.000,0.937500,18764,16.00
4831.000,0.943750,18876,17.78
4867.000,0.950000,19007,20.00
4915.000,0.956250,19133,22.86
4967.000,0.962500,19250,26.67
5075.000,0.968750,19377,32.00
5167.000,0.971875,19439,35.56
5267.000,0.975000,19500,40.00
5407.000,0.978125,19564,45.71
5627.000,0.981250,19625,53.33
5923.000,0.984375,19688,64.00
6087.000,0.985938,19719,71.11
6311.000,0.987500,19750,80.00
6823.000,0.989062,19782,91.43
7187.000,0.990625,19813,106.67
7503.000,0.992188,19844,128.00
7631.000,0.992969,19860,142.22
7735.000,0.993750,19875,160.00
7891.000,0.994531,19891,182.86
8043.000,0.995313,19908,213.33
8143.000,0.996094,19922,256.00
8263.000,0.996484,19930,284.44
8663.000,0.996875,19938,320.00
9575.000,0.997266,19946,365.71
10999.000,0.997656,19954,426.67
13015.000,0.998047,19961,512.00
196223.000,0.998242,19965,568.89
230655.000,0.998437,19969,640.00
237183.000,0.998633,19974,731.43
249471.000,0.998828,19977,853.33
282623.000,0.999023,19981,1024.00
302591.000,0.999121,19983,1137.78
329215.000,0.999219,19985,1280.00
330751.000,0.999316,19987,1462.86
340991.000,0.999414,19989,1706.67
348159.000,0.999512,19991,2048.00
349183.000,0.999561,19993,2275.56
349183.000,0.999609,19993,2560.00
353023.000,0.999658,19994,2925.71
459263.000,0.999707,19995,3413.33
459775.000,0.999756,19996,4096.00
459775.000,0.999780,19996,4551.11
462335.000,0.999805,19997,5120.00
462335.000,0.999829,19997,5851.43
464383.000,0.999854,19998,6826.67
464383.000,0.999878,19998,8192.00
464383.000,0.999890,19998,9102.22
470015.000,0.999902,19999,10240.00
470015.000,0.999915,19999,11702.86
470015.000,0.999927,19999,13653.33
470015.000,0.999939,19999,16384.00
470015.000,0.999945,19999,18204.44
472319.000,0.999951,20000,20480.00
472319.000,1.000000,20000,inf
