Value,Percentile,TotalCount,1/(1-Percentile)
5875.000,0.000000,1,1.00
6103.000,0.100000,2057,1.11
6243.000,0.200000,4041,1.25
6423.000,0.300000,6002,1.43
6611.000,0.400000,8006,1.67
6703.000,0.500000,10073,2.00
6743.000,0.550000,11018,2.22
6787.000,0.600000,12002,2.50
6839.000,0.650000,13045,2.86
6895.000,0.700000,14052,3.33
6967.000,0.750000,15040,4.00
7007.000,0.775000,15519,4.44
7059.000,0.800000,16015,5.00
7123.000,0.825000,16502,5.71
7199.000,0.850000,17003,6.67
7295.000,0.875000,17506,8.00
7351.000,0.887500,17755,8.89
7411.000,0.900000,18000,10.00
7499.000,0.912500,18253,11.43
7603.000,0.925000,18500,13.33
7747.000,0.937500,18757,16.00
7827.000,0.943750,18877,17.78
7927.000,0.950000,19000,20.00
8051.000,0.956250,19127,22.86
8207.000,0.962500,19256,26.67
8391.000,0.968750,19376,32.00
8527.000,0.971875,19441,35.56
8671.000,0.975000,19504,40.00
8847.000,0.978125,19563,45.71
9055.000,0.981250,19625,53.33
9391.000,0.984375,19688,64.00
9535.000,0.985938,19719,71.11
9679.000,0.987500,19750,80.00
9903.000,0.989062,19782,91.43
10143.000,0.990625,19813,106.67
10527.000,0.992188,19845,128.00
10743.000,0.992969,19860,142.22
11167.000,0.993750,19875,160.00
11687.000,0.994531,19891,182.86
12471.000,0.995313,19907,213.33
14751.000,0.996094,19922,256.00
16863.000,0.996484,19930,284.44
26239.000,0.996875,19938,320.00
38207.000,0.997266,19946,365.71
183295.000,0.997656,19954,426.67
224383.000,0.998047,19962,512.00
227711.000,0.998242,19965,568.89
236159.000,0.998437,19969,640.00
262911.000,0.998633,19973,731.43
278015.000,0.998828,19977,853.33
327679.000,0.999023,19981,1024.00
332031.000,0.999121,19983,1137.78
338943.000,0.999219,19985,1280.00
344063.000,0.999316,19987,1462.86
442879.000,0.999414,19989,1706.67
444671.000,0.999512,19992,2048.00
444671.000,0.999561,19992,2275.56
449279.000,0.999609,19993,2560.00
457727.000,0.999658,19994,2925.71
464383.000,0.999707,19995,3413.33
499455.000,0.999756,19996,4096.00
499455.000,0.999780,19996,4551.11
503039.000,0.999805,19997,5120.00
503039.000,0.999829,19997,5851.43
505599.000,0.999854,19998,6826.67
505599.000,0.999878,19998,8192.00
505599.000,0.999890,19998,9102.22
527871.000,0.999902,19999,10240.00
527871.000,0.999915,19999,11702.86
527871.000,0.999927,19999,13653.33
527871.000,0.999939,19999,16384.00
527871.000,0.999945,19999,18204.44
542719.000,0.999951,20000,20480.00
542719.000,1.000000,20000,inf
