Value,Percentile,TotalCount,1/(1-Percentile)
14.000,0.000000,10,1.00
15.000,0.100000,556,1.11
16.000,0.200000,2200,1.25
16.000,0.300000,2200,1.43
16.000,0.400000,2200,1.67
17.000,0.500000,3180,2.00
17.000,0.550000,3180,2.22
17.000,0.600000,3180,2.50
18.000,0.650000,3938,2.86
18.000,0.700000,3938,3.33
18.000,0.750000,3938,4.00
18.000,0.775000,3938,4.44
19.000,0.800000,4640,5.00
19.000,0.825000,4640,5.71
19.000,0.850000,4640,6.67
19.000,0.875000,4640,8.00
19.000,0.887500,4640,8.89
19.000,0.900000,4640,10.00
19.000,0.912500,4640,11.43
19.000,0.925000,4640,13.33
20.000,0.937500,4896,16.00
20.000,0.943750,4896,17.78
20.000,0.950000,4896,20.00
20.000,0.956250,4896,22.86
20.000,0.962500,4896,26.67
20.000,0.968750,4896,32.00
20.000,0.971875,4896,35.56
20.000,0.975000,4896,40.00
20.000,0.978125,4896,45.71
21.000,0.981250,4944,53.33
21.000,0.984375,4944,64.00
21.000,0.985938,4944,71.11
21.000,0.987500,4944,80.00
22.000,0.989062,4963,91.43
22.000,0.990625,4963,106.67
22.000,0.992188,4963,128.00
23.000,0.992969,4974,142.22
23.000,0.993750,4974,160.00
23.000,0.994531,4974,182.86
24.000,0.995313,4983,213.33
24.000,0.996094,4983,256.00
24.000,0.996484,4983,284.44
26.000,0.996875,4986,320.00
27.000,0.997266,4989,365.71
27.000,0.997656,4989,426.67
28.000,0.998047,4995,512.00
28.000,0.998242,4995,568.89
28.000,0.998437,4995,640.00
28.000,0.998633,4995,731.43
28.000,0.998828,4995,853.33
29.000,0.999023,4997,1024.00
29.000,0.999121,4997,1137.78
29.000,0.999219,4997,1280.00
29.000,0.999316,4997,1462.86
30.000,0.999414,4998,1706.67
30.000,0.999512,4998,2048.00
30.000,0.999561,4998,2275.56
33.000,0.999609,4999,2560.00
33.000,0.999658,4999,2925.71
33.000,0.999707,4999,3413.33
33.000,0.999756,4999,4096.00
33.000,0.999780,4999,4551.11
41.000,0.999805,5000,5120.00
41.000,1.000000,5000,inf
