Value,Percentile,TotalCount,1/(1-Percentile)
3193.000,0.000000,1,1.00
3667.000,0.100000,512,1.11
3707.000,0.200000,1040,1.25
3733.000,0.300000,1543,1.43
3755.000,0.400000,2035,1.67
3775.000,0.500000,2513,2.00
3787.000,0.550000,2757,2.22
3801.000,0.600000,3019,2.50
3817.000,0.650000,3256,2.86
3843.000,0.700000,3502,3.33
3875.000,0.750000,3750,4.00
3903.000,0.775000,3884,4.44
3935.000,0.800000,4005,5.00
3973.000,0.825000,4128,5.71
4015.000,0.850000,4252,6.67
4063.000,0.875000,4382,8.00
4089.000,0.887500,4440,8.89
4131.000,0.900000,4502,10.00
4175.000,0.912500,4565,11.43
4219.000,0.925000,4629,13.33
4271.000,0.937500,4691,16.00
4299.000,0.943750,4719,17.78
4331.000,0.950000,4753,20.00
4387.000,0.956250,4784,22.86
4459.000,0.962500,4813,26.67
4591.000,0.968750,4844,32.00
4659.000,0.971875,4862,35.56
4763.000,0.975000,4876,40.00
4867.000,0.978125,4891,45.71
5147.000,0.981250,4907,53.33
5427.000,0.984375,4922,64.00
5639.000,0.985938,4931,71.11
5823.000,0.987500,4938,80.00
5907.000,0.989062,4946,91.43
6211.000,0.990625,4954,106.67
6383.000,0.992188,4961,128.00
6795.000,0.992969,4965,142.22
6935.000,0.993750,4969,160.00
7263.000,0.994531,4973,182.86
7475.000,0.995313,4977,213.33
8051.000,0.996094,4981,256.00
15375.000,0.996484,4983,284.44
17119.000,0.996875,4985,320.00
27839.000,0.997266,4987,365.71
28303.000,0.997656,4989,426.67
28495.000,0.998047,4991,512.00
28847.000,0.998242,4992,568.89
29151.000,0.998437,4993,640.00
29775.000,0.998633,4994,731.43
195071.000,0.998828,4995,853.33
213119.000,0.999023,4996,1024.00
213119.000,0.999121,4996,1137.78
234623.000,0.999219,4997,1280.00
234623.000,0.999316,4997,1462.86
238463.000,0.999414,4998,1706.67
238463.000,0.999512,4998,2048.00
238463.000,0.999561,4998,2275.56
251263.000,0.999609,4999,2560.00
251263.000,0.999658,4999,2925.71
251263.000,0.999707,4999,3413.33
251263.000,0.999756,4999,4096.00
251263.000,0.999780,4999,4551.11
672255.000,0.999805,5000,5120.00
672255.000,1.000000,5000,inf
