Value,Percentile,TotalCount,1/(1-Percentile)
3141.000,0.000000,1,1.00
3613.000,0.100000,518,1.11
3651.000,0.200000,1004,1.25
3677.000,0.300000,1504,1.43
3701.000,0.400000,2043,1.67
3721.000,0.500000,2518,2.00
3733.000,0.550000,2764,2.22
3747.000,0.600000,3021,2.50
3763.000,0.650000,3256,2.86
3789.000,0.700000,3511,3.33
3821.000,0.750000,3761,4.00
3849.000,0.775000,3883,4.44
3881.000,0.800000,4010,5.00
3917.000,0.825000,4125,5.71
3961.000,0.850000,4255,6.67
4009.000,0.875000,4378,8.00
4033.000,0.887500,4439,8.89
4075.000,0.900000,4500,10.00
4119.000,0.912500,4564,11.43
4163.000,0.925000,4627,13.33
4215.000,0.937500,4691,16.00
4247.000,0.943750,4723,17.78
4271.000,0.950000,4750,20.00
4331.000,0.956250,4783,22.86
4403.000,0.962500,4813,26.67
4535.000,0.968750,4845,32.00
4603.000,0.971875,4860,35.56
4707.000,0.975000,4875,40.00
4815.000,0.978125,4891,45.71
5095.000,0.981250,4907,53.33
5371.000,0.984375,4922,64.00
5587.000,0.985938,4931,71.11
5767.000,0.987500,4938,80.00
5851.000,0.989062,4946,91.43
6159.000,0.990625,4955,106.67
6327.000,0.992188,4961,128.00
6735.000,0.992969,4965,142.22
6879.000,0.993750,4969,160.00
7207.000,0.994531,4973,182.86
7415.000,0.995313,4977,213.33
7959.000,0.996094,4981,256.00
15263.000,0.996484,4983,284.44
17071.000,0.996875,4985,320.00
27791.000,0.997266,4987,365.71
28239.000,0.997656,4989,426.67
28447.000,0.998047,4991,512.00
28799.000,0.998242,4992,568.89
29103.000,0.998437,4993,640.00
29711.000,0.998633,4994,731.43
195071.000,0.998828,4995,853.33
212991.000,0.999023,4996,1024.00
212991.000,0.999121,4996,1137.78
234495.000,0.999219,4997,1280.00
234495.000,0.999316,4997,1462.86
238463.000,0.999414,4998,1706.67
238463.000,0.999512,4998,2048.00
238463.000,0.999561,4998,2275.56
251263.000,0.999609,4999,2560.00
251263.000,0.999658,4999,2925.71
251263.000,0.999707,4999,3413.33
251263.000,0.999756,4999,4096.00
251263.000,0.999780,4999,4551.11
672255.000,0.999805,5000,5120.00
672255.000,1.000000,5000,inf
