Value,Percentile,TotalCount,1/(1-Percentile)
4111.000,0.000000,1,1.00
4615.000,0.100000,504,1.11
4663.000,0.200000,1038,1.25
4695.000,0.300000,1554,1.43
4719.000,0.400000,2013,1.67
4747.000,0.500000,2521,2.00
4763.000,0.550000,2769,2.22
4783.000,0.600000,3055,2.50
4803.000,0.650000,3275,2.86
4831.000,0.700000,3525,3.33
4867.000,0.750000,3757,4.00
4891.000,0.775000,3894,4.44
4919.000,0.800000,4014,5.00
4955.000,0.825000,4137,5.71
4995.000,0.850000,4253,6.67
5055.000,0.875000,4387,8.00
5079.000,0.887500,4439,8.89
5119.000,0.900000,4501,10.00
5163.000,0.912500,4568,11.43
5211.000,0.925000,4630,13.33
5279.000,0.937500,4688,16.00
5343.000,0.943750,4720,17.78
5435.000,0.950000,4751,20.00
5523.000,0.956250,4782,22.86
5659.000,0.962500,4815,26.67
5791.000,0.968750,4844,32.00
5887.000,0.971875,4860,35.56
5975.000,0.975000,4875,40.00
6147.000,0.978125,4891,45.71
6315.000,0.981250,4907,53.33
6539.000,0.984375,4922,64.00
6743.000,0.985938,4930,71.11
6935.000,0.987500,4938,80.00
7311.000,0.989062,4946,91.43
7655.000,0.990625,4954,106.67
7943.000,0.992188,4961,128.00
8051.000,0.992969,4965,142.22
8415.000,0.993750,4969,160.00
8975.000,0.994531,4973,182.86
13839.000,0.995313,4977,213.33
17935.000,0.996094,4981,256.00
18095.000,0.996484,4983,284.44
18639.000,0.996875,4985,320.00
26703.000,0.997266,4987,365.71
28063.000,0.997656,4989,426.67
29999.000,0.998047,4991,512.00
30319.000,0.998242,4992,568.89
30879.000,0.998437,4993,640.00
177919.000,0.998633,4994,731.43
178943.000,0.998828,4995,853.33
223999.000,0.999023,4996,1024.00
223999.000,0.999121,4996,1137.78
225919.000,0.999219,4997,1280.00
225919.000,0.999316,4997,1462.86
242687.000,0.999414,4998,1706.67
242687.000,0.999512,4998,2048.00
242687.000,0.999561,4998,2275.56
263423.000,0.999609,4999,2560.00
263423.000,0.999658,4999,2925.71
263423.000,0.999707,4999,3413.33
263423.000,0.999756,4999,4096.00
263423.000,0.999780,4999,4551.11
645119.000,0.999805,5000,5120.00
645119.000,1.000000,5000,inf
