Value,Percentile,TotalCount,1/(1-Percentile)
14.000,0.000000,19,1.00
15.000,0.100000,708,1.11
16.000,0.200000,2966,1.25
16.000,0.300000,2966,1.43
16.000,0.400000,2966,1.67
16.000,0.500000,2966,2.00
16.000,0.550000,2966,2.22
17.000,0.600000,4536,2.50
17.000,0.650000,4536,2.86
17.000,0.700000,4536,3.33
17.000,0.750000,4536,4.00
17.000,0.775000,4536,4.44
17.000,0.800000,4536,5.00
17.000,0.825000,4536,5.71
17.000,0.850000,4536,6.67
17.000,0.875000,4536,8.00
17.000,0.887500,4536,8.89
17.000,0.900000,4536,10.00
18.000,0.912500,4822,11.43
18.000,0.925000,4822,13.33
18.000,0.937500,4822,16.00
18.000,0.943750,4822,17.78
18.000,0.950000,4822,20.00
18.000,0.956250,4822,22.86
18.000,0.962500,4822,26.67
19.000,0.968750,4918,32.00
19.000,0.971875,4918,35.56
19.000,0.975000,4918,40.00
19.000,0.978125,4918,45.71
19.000,0.981250,4918,53.33
20.000,0.984375,4953,64.00
20.000,0.985938,4953,71.11
20.000,0.987500,4953,80.00
20.000,0.989062,4953,91.43
21.000,0.990625,4970,106.67
21.000,0.992188,4970,128.00
21.000,0.992969,4970,142.22
21.000,0.993750,4970,160.00
22.000,0.994531,4977,182.86
22.000,0.995313,4977,213.33
24.000,0.996094,4985,256.00
24.000,0.996484,4985,284.44
24.000,0.996875,4985,320.00
25.000,0.997266,4988,365.71
26.000,0.997656,4989,426.67
27.000,0.998047,4992,512.00
27.000,0.998242,4992,568.89
36.000,0.998437,4993,640.00
37.000,0.998633,4994,731.43
38.000,0.998828,4995,853.33
100.000,0.999023,4996,1024.00
100.000,0.999121,4996,1137.78
101.000,0.999219,4997,1280.00
101.000,0.999316,4997,1462.86
107.000,0.999414,4998,1706.67
107.000,0.999512,4998,2048.00
107.000,0.999561,4998,2275.56
116.000,0.999609,4999,2560.00
116.000,0.999658,4999,2925.71
116.000,0.999707,4999,3413.33
116.000,0.999756,4999,4096.00
116.000,0.999780,4999,4551.11
2421.000,0.999805,5000,5120.00
2421.000,1.000000,5000,inf
