Value,Percentile,TotalCount,1/(1-Percentile)
1167.000,0.000000,1,1.00
3561.000,0.100000,505,1.11
3603.000,0.200000,1025,1.25
3627.000,0.300000,1504,1.43
3651.000,0.400000,2049,1.67
3671.000,0.500000,2504,2.00
3683.000,0.550000,2751,2.22
3697.000,0.600000,3028,2.50
3713.000,0.650000,3270,2.86
3731.000,0.700000,3526,3.33
3757.000,0.750000,3758,4.00
3777.000,0.775000,3880,4.44
3805.000,0.800000,4013,5.00
3833.000,0.825000,4128,5.71
3881.000,0.850000,4255,6.67
3935.000,0.875000,4375,8.00
3969.000,0.887500,4438,8.89
4005.000,0.900000,4501,10.00
4047.000,0.912500,4567,11.43
4083.000,0.925000,4626,13.33
4119.000,0.937500,4689,16.00
4143.000,0.943750,4722,17.78
4167.000,0.950000,4750,20.00
4199.000,0.956250,4784,22.86
4263.000,0.962500,4814,26.67
4375.000,0.968750,4845,32.00
4439.000,0.971875,4861,35.56
4519.000,0.975000,4876,40.00
4651.000,0.978125,4891,45.71
4851.000,0.981250,4907,53.33
5079.000,0.984375,4923,64.00
5247.000,0.985938,4930,71.11
5459.000,0.987500,4938,80.00
5695.000,0.989062,4946,91.43
5931.000,0.990625,4954,106.67
6219.000,0.992188,4961,128.00
6395.000,0.992969,4965,142.22
6491.000,0.993750,4969,160.00
6599.000,0.994531,4973,182.86
7323.000,0.995313,4977,213.33
8231.000,0.996094,4981,256.00
10423.000,0.996484,4983,284.44
15455.000,0.996875,4985,320.00
16863.000,0.997266,4987,365.71
17151.000,0.997656,4989,426.67
26959.000,0.998047,4991,512.00
28463.000,0.998242,4992,568.89
29327.000,0.998437,4993,640.00
218495.000,0.998633,4994,731.43
235135.000,0.998828,4995,853.33
237823.000,0.999023,4996,1024.00
237823.000,0.999121,4996,1137.78
252159.000,0.999219,4997,1280.00
252159.000,0.999316,4997,1462.86
257407.000,0.999414,4998,1706.67
257407.000,0.999512,4998,2048.00
257407.000,0.999561,4998,2275.56
665599.000,0.999609,4999,2560.00
665599.000,0.999658,4999,2925.71
665599.000,0.999707,4999,3413.33
665599.000,0.999756,4999,4096.00
665599.000,0.999780,4999,4551.11
670207.000,0.999805,5000,5120.00
670207.000,1.000000,5000,inf
