Value,Percentile,TotalCount,1/(1-Percentile)
20.000,0.000000,8,1.00
23.000,0.100000,4291,1.11
23.000,0.200000,4291,1.25
24.000,0.300000,6298,1.43
25.000,0.400000,8890,1.67
26.000,0.500000,12240,2.00
26.000,0.550000,12240,2.22
26.000,0.600000,12240,2.50
27.000,0.650000,13802,2.86
28.000,0.700000,15221,3.33
28.000,0.750000,15221,4.00
29.000,0.775000,16464,4.44
29.000,0.800000,16464,5.00
30.000,0.825000,17424,5.71
30.000,0.850000,17424,6.67
31.000,0.875000,18224,8.00
31.000,0.887500,18224,8.89
31.000,0.900000,18224,10.00
32.000,0.912500,18551,11.43
32.000,0.925000,18551,13.33
33.000,0.937500,18770,16.00
34.000,0.943750,18950,17.78
35.000,0.950000,19041,20.00
36.000,0.956250,19135,22.86
38.000,0.962500,19263,26.67
40.000,0.968750,19375,32.00
42.000,0.971875,19495,35.56
43.000,0.975000,19553,40.00
44.000,0.978125,19611,45.71
45.000,0.981250,19660,53.33
46.000,0.984375,19703,64.00
47.000,0.985938,19739,71.11
48.000,0.987500,19769,80.00
49.000,0.989062,19794,91.43
51.000,0.990625,19817,106.67
54.000,0.992188,19844,128.00
57.000,0.992969,19861,142.22
62.000,0.993750,19875,160.00
83.000,0.994531,19892,182.86
109.000,0.995313,19911,213.33
113.000,0.996094,19926,256.00
114.000,0.996484,19930,284.44
116.000,0.996875,19938,320.00
120.000,0.997266,19947,365.71
127.000,0.997656,19954,426.67
132.000,0.998047,19962,512.00
133.000,0.998242,19966,568.89
136.000,0.998437,19969,640.00
140.000,0.998633,19974,731.43
145.000,0.998828,19977,853.33
159.000,0.999023,19981,1024.00
162.000,0.999121,19983,1137.78
165.000,0.999219,19985,1280.00
175.000,0.999316,19987,1462.86
186.000,0.999414,19989,1706.67
191.000,0.999512,19991,2048.00
195.000,0.999561,19992,2275.56
200.000,0.999609,19993,2560.00
202.000,0.999658,19994,2925.71
256.000,0.999707,19995,3413.33
467.000,0.999756,19996,4096.00
467.000,0.999780,19996,4551.11
664.000,0.999805,19997,5120.00
664.000,0.999829,19997,5851.43
739.000,0.999854,19998,6826.67
739.000,0.999878,19998,8192.00
739.000,0.999890,19998,9102.22
741.000,0.999902,19999,10240.00
741.000,0.999915,19999,11702.86
741.000,0.999927,19999,13653.33
741.000,0.999939,19999,16384.00
741.000,0.999945,19999,18204.44
3733.000,0.999951,20000,20480.00
3733.000,1.000000,20000,inf
