Value,Percentile,TotalCount,1/(1-Percentile)
5831.000,0.000000,1,1.00
6399.000,0.100000,2011,1.11
6635.000,0.200000,4025,1.25
6747.000,0.300000,6064,1.43
6803.000,0.400000,8099,1.67
6847.000,0.500000,10015,2.00
6871.000,0.550000,11104,2.22
6895.000,0.600000,12166,2.50
6915.000,0.650000,13044,2.86
6943.000,0.700000,14092,3.33
6971.000,0.750000,15066,4.00
6987.000,0.775000,15569,4.44
7007.000,0.800000,16087,5.00
7027.000,0.825000,16558,5.71
7051.000,0.850000,17032,6.67
7083.000,0.875000,17540,8.00
7099.000,0.887500,17755,8.89
7127.000,0.900000,18033,10.00
7159.000,0.912500,18282,11.43
7195.000,0.925000,18507,13.33
7255.000,0.937500,18762,16.00
7287.000,0.943750,18885,17.78
7323.000,0.950000,19014,20.00
7359.000,0.956250,19125,22.86
7407.000,0.962500,19255,26.67
7471.000,0.968750,19382,32.00
7511.000,0.971875,19439,35.56
7567.000,0.975000,19501,40.00
7659.000,0.978125,19564,45.71
7919.000,0.981250,19626,53.33
8383.000,0.984375,19688,64.00
8671.000,0.985938,19719,71.11
8959.000,0.987500,19750,80.00
9207.000,0.989062,19782,91.43
9639.000,0.990625,19813,106.67
10039.000,0.992188,19844,128.00
10279.000,0.992969,19861,142.22
10391.000,0.993750,19875,160.00
10623.000,0.994531,19891,182.86
11023.000,0.995313,19907,213.33
12271.000,0.996094,19922,256.00
15111.000,0.996484,19930,284.44
17983.000,0.996875,19938,320.00
19567.000,0.997266,19946,365.71
25823.000,0.997656,19954,426.67
174591.000,0.998047,19961,512.00
175999.000,0.998242,19965,568.89
181759.000,0.998437,19969,640.00
184575.000,0.998633,19973,731.43
228351.000,0.998828,19977,853.33
257279.000,0.999023,19981,1024.00
265983.000,0.999121,19983,1137.78
267263.000,0.999219,19985,1280.00
268543.000,0.999316,19987,1462.86
393727.000,0.999414,19989,1706.67
395519.000,0.999512,19991,2048.00
416511.000,0.999561,19992,2275.56
418815.000,0.999609,19993,2560.00
420095.000,0.999658,19994,2925.71
420607.000,0.999707,19995,3413.33
424959.000,0.999756,19996,4096.00
424959.000,0.999780,19996,4551.11
435967.000,0.999805,19997,5120.00
435967.000,0.999829,19997,5851.43
487423.000,0.999854,19998,6826.67
487423.000,0.999878,19998,8192.00
487423.000,0.999890,19998,9102.22
540671.000,0.999902,19999,10240.00
540671.000,0.999915,19999,11702.86
540671.000,0.999927,19999,13653.33
540671.000,0.999939,19999,16384.00
540671.000,0.999945,19999,18204.44
542207.000,0.999951,20000,20480.00
542207.000,1.000000,20000,inf
