Value,Percentile,TotalCount,1/(1-Percentile)
21.000,0.000000,22,1.00
23.000,0.100000,6462,1.11
23.000,0.200000,6462,1.25
23.000,0.300000,6462,1.43
24.000,0.400000,8572,1.67
25.000,0.500000,11276,2.00
25.000,0.550000,11276,2.22
26.000,0.600000,14093,2.50
26.000,0.650000,14093,2.86
26.000,0.700000,14093,3.33
27.000,0.750000,15322,4.00
28.000,0.775000,16784,4.44
28.000,0.800000,16784,5.00
28.000,0.825000,16784,5.71
29.000,0.850000,17949,6.67
29.000,0.875000,17949,8.00
29.000,0.887500,17949,8.89
30.000,0.900000,18531,10.00
30.000,0.912500,18531,11.43
30.000,0.925000,18531,13.33
31.000,0.937500,18879,16.00
31.000,0.943750,18879,17.78
32.000,0.950000,19082,20.00
33.000,0.956250,19162,22.86
35.000,0.962500,19299,26.67
37.000,0.968750,19376,32.00
39.000,0.971875,19487,35.56
40.000,0.975000,19557,40.00
41.000,0.978125,19614,45.71
42.000,0.981250,19689,53.33
42.000,0.984375,19689,64.00
43.000,0.985938,19744,71.11
44.000,0.987500,19799,80.00
44.000,0.989062,19799,91.43
45.000,0.990625,19823,106.67
46.000,0.992188,19848,128.00
47.000,0.992969,19860,142.22
50.000,0.993750,19882,160.00
53.000,0.994531,19893,182.86
70.000,0.995313,19907,213.33
107.000,0.996094,19923,256.00
110.000,0.996484,19930,284.44
112.000,0.996875,19942,320.00
114.000,0.997266,19947,365.71
115.000,0.997656,19954,426.67
118.000,0.998047,19962,512.00
122.000,0.998242,19965,568.89
125.000,0.998437,19969,640.00
128.000,0.998633,19974,731.43
132.000,0.998828,19979,853.33
134.000,0.999023,19981,1024.00
137.000,0.999121,19983,1137.78
140.000,0.999219,19985,1280.00
143.000,0.999316,19987,1462.86
147.000,0.999414,19989,1706.67
152.000,0.999512,19991,2048.00
153.000,0.999561,19992,2275.56
154.000,0.999609,19993,2560.00
163.000,0.999658,19994,2925.71
165.000,0.999707,19995,3413.33
166.000,0.999756,19996,4096.00
166.000,0.999780,19996,4551.11
169.000,0.999805,19997,5120.00
169.000,0.999829,19997,5851.43
171.000,0.999854,19998,6826.67
171.000,0.999878,19998,8192.00
171.000,0.999890,19998,9102.22
652.000,0.999902,19999,10240.00
652.000,0.999915,19999,11702.86
652.000,0.999927,19999,13653.33
652.000,0.999939,19999,16384.00
652.000,0.999945,19999,18204.44
691.000,0.999951,20000,20480.00
691.000,1.000000,20000,inf
