Value,Percentile,TotalCount,1/(1-Percentile)
6083.000,0.000000,1,1.00
6659.000,0.100000,2015,1.11
6903.000,0.200000,4054,1.25
6967.000,0.300000,6058,1.43
7011.000,0.400000,8024,1.67
7055.000,0.500000,10140,2.00
7075.000,0.550000,11152,2.22
7095.000,0.600000,12126,2.50
7115.000,0.650000,13036,2.86
7139.000,0.700000,14063,3.33
7167.000,0.750000,15067,4.00
7183.000,0.775000,15583,4.44
7199.000,0.800000,16051,5.00
7219.000,0.825000,16553,5.71
7243.000,0.850000,17025,6.67
7275.000,0.875000,17505,8.00
7299.000,0.887500,17782,8.89
7323.000,0.900000,18013,10.00
7359.000,0.912500,18261,11.43
7407.000,0.925000,18515,13.33
7459.000,0.937500,18767,16.00
7491.000,0.943750,18883,17.78
7523.000,0.950000,19005,20.00
7563.000,0.956250,19133,22.86
7615.000,0.962500,19252,26.67
7675.000,0.968750,19377,32.00
7719.000,0.971875,19443,35.56
7783.000,0.975000,19502,40.00
7887.000,0.978125,19563,45.71
8247.000,0.981250,19625,53.33
8783.000,0.984375,19688,64.00
9191.000,0.985938,19719,71.11
9503.000,0.987500,19751,80.00
9823.000,0.989062,19782,91.43
10175.000,0.990625,19813,106.67
10431.000,0.992188,19844,128.00
10567.000,0.992969,19860,142.22
10703.000,0.993750,19875,160.00
10879.000,0.994531,19891,182.86
11311.000,0.995313,19907,213.33
14127.000,0.996094,19922,256.00
18127.000,0.996484,19930,284.44
21583.000,0.996875,19938,320.00
30415.000,0.997266,19946,365.71
177023.000,0.997656,19954,426.67
178559.000,0.998047,19962,512.00
203519.000,0.998242,19965,568.89
206463.000,0.998437,19969,640.00
209791.000,0.998633,19973,731.43
228479.000,0.998828,19977,853.33
230399.000,0.999023,19981,1024.00
246783.000,0.999121,19983,1137.78
249215.000,0.999219,19985,1280.00
249471.000,0.999316,19987,1462.86
249855.000,0.999414,19989,1706.67
251263.000,0.999512,19991,2048.00
417535.000,0.999561,19992,2275.56
417791.000,0.999609,19993,2560.00
418815.000,0.999658,19994,2925.71
419839.000,0.999707,19995,3413.33
420095.000,0.999756,19996,4096.00
420095.000,0.999780,19996,4551.11
420351.000,0.999805,19997,5120.00
420351.000,0.999829,19997,5851.43
421375.000,0.999854,19998,6826.67
421375.000,0.999878,19998,8192.00
421375.000,0.999890,19998,9102.22
421887.000,0.999902,19999,10240.00
421887.000,0.999915,19999,11702.86
421887.000,0.999927,19999,13653.33
421887.000,0.999939,19999,16384.00
421887.000,0.999945,19999,18204.44
549375.000,0.999951,20000,20480.00
549375.000,1.000000,20000,inf
